Player Input,NPC Response
Aela,Don’t let his gruff exterior fool you—Farkas is kind-hearted. He’s a true companion and would die protecting his kin.
"Auriel’s Bow, How does that work?","Arrow of gods, or light reborn?"
Can you tell me about Erik?,"Riften lies to the southeast, follow the winding road through the trees and marshlands"
Clarify.,"Yeah, because someone’s gotta carry this conversation"
"Back up, How does that work?","Nah, I like this view"
"what is the night mother, What exactly does that mean?",The Night Mother is the matron of the Dark Brotherhood speaking the words of Sithis to guide her followers
"Almalexia, Give me more details.","Mother of mercy, or tyrant divine?"
"Erik, What exactly does that mean?","If you wish to reach the Throat of the World, travel north and ascend the mountain to its peak"
vivec,"Poet, warrior, liar — or all three?"
Can you tell me about Throat of the World?,Here the wind carries the voice of time
"namira, I’ve heard, but I want to know more.",Namira does not forgive trespassers.
do you like the old gods,The old gods are the ancient spirits of Skyrim. They are respected by the Nords.
"debt, Give me more details.","Owed in gold, or in guilt?"
"Labyrinthian, How does that work?","Maze of magic, or grave of mages?"
who is parthurnax,A wise dragon who turned against his kind.
Could you explain Black Marsh?,"Swamp of secrets, or cradle of change?"
"Where can I find the sacred scroll?, Why is that important?","It’s in the monastery, hidden behind the altar."
How do I defeat the shadow dragon?,"Use light magic to expose its weaknesses, then strike swiftly."
"Tarlok, I’ve heard, but I want to know more.","The Companions are a proud group, but Kodlak’s leadership is a beacon of wisdom. I’m sure he knows the path we must walk."
Tell me.,Wisp Mother was written in fire and shadow.
Tell me.,trust your instincts and keep your coin close
Explain.,Greybeard Order was written in fire and shadow.
"legion, Can you explain?",Soldiers of the Emperor.
"What should I do after speaking to the wizard?, What exactly does that mean?",Go to the ancient library and search for the book he mentioned.
"good night, How does that work?","Good night, and may your dreams be peaceful."
"veil, How does that work?",What lies beyond is not always seen.
telvanni,"Power through solitude, or arrogance with roots?"
I was wondering about No?,Yeah
who is the most powerful,"Power is fleeting, but the gods endure."
"Hermaeus Mora, I’ve heard, but I want to know more.","Keeper of secrets, or devourer of minds?"
"Sigrun, I want to understand better.","Vilkas is a solid companion, but don’t expect him to talk much. His actions speak louder than words."
aedra,Gods who shaped the world.
how goes it,It goes well. What about you?
Can you tell me about Captain Aldis?,"Voice of order, or will bent by war?"
where is the safest place,nowhere
I was wondering about miraak?,What did it cost to silence miraak?
How do I defeat the poison spider?,"Use antidote potions to protect yourself, then strike quickly when it’s distracted."
Details?,once it was amazing never saw them again
Tell me.,Politics and gold go hand in hand
Where can I find the lost temple?,"It’s buried deep in the jungle, behind a series of traps."
I need to know about mournhold?,Mournhold was written in fire and shadow.
I'd like to learn about zenithar?,God of trade or chains of gold?
I'd like to learn about What do I do after defeating the beast??,Take its fang as proof of your victory. The people will reward you.
"talk, Why is that important?",I already am.
Vaermina,Drink the Torpor and walk through another’s dreams
"How do I navigate through the maze?, I want to understand better.",Follow the symbols on the walls. They’ll guide you to the center.
General Tullius,"Strategist of steel, or blind to hearts?"
"Odahviing, What exactly does that mean?","Wing of fire, or ally of fate?"
"Boethiah, I want to understand better.","God of plots, or guide of trials?"
I was wondering about who was reman cyrodiil?,Reman Cyrodiil was the warrior-king who united Tamriel after defeating the Akaviri
ghostfence,Ghostfence holds truths best left buried.
"whats the weirdest kink youve heard, I want to understand better.",you wouldn’t believe what nobles pay for let’s just say skeevers were involved
"Sinding, How does that work?","Beast cursed, or soul betrayed?"
I need to know about who is ysgramor?,"The first great Nord king, who led the Five Hundred Companions."
Lydia,"The road to Solitude lies west, cross the cliffs and the tall stone walls of the city will appear"
Do you know anything about telvanni?,Would you dare speak the name of telvanni aloud?
"soul gem, What exactly does that mean?",Soul Gem does not forgive trespassers.
I was wondering about Lucien Lachance?,"Ghost of penance, or mentor in death?"
"Ra Gada, Give me more details.","Warriors of wave, or bringers of steel?"
Could you explain stormcloak?,"Patriot, or pawn of a louder voice?"
I'd like to learn about where can i find netch leather?,Hunt netches on Solstheim.
More info?,Or what?
Tell me.,"Wall of time, or memory of war?"
Saint,"Model of virtue, or tale of convenience?"
Explain.,The Nightingales are the protectors of the Twilight Sepulcher. Their duty is sacred.
Freja,"The road to Riften is southeast, pass the woods and the marshes, the city will soon appear"
"The Ratway, Give me more details.","Path of thieves, or tunnel to survival?"
I need to know about leyawiin?,Would you dare speak the name of leyawiin aloud?
More info?,"Keep antidotes handy, and stay mobile to avoid their poison attacks."
"what do you believe, Why is that important?",That’s personal.
Do you know anything about Paragon Portal?,"Gate of wonders, or step to doom?"
"How do I defeat the demon lord?, How does that work?","Use holy magic to banish him, then strike with your sword."
Do you know anything about Tsun?,"Guardian of Sovngarde, or test of worth?"
Do you know anything about How do I find adventure?,"Walk in any direction, trouble will find you."
Details?,"Along the coast where the fog never lifts, follow the lanterns that flicker at night"
Could you explain windhelm?,Home of pride or birthplace of civil war?
Explain.,Or what?
"dunmer, Can you explain?",Would you dare speak the name of dunmer aloud?
"Aetherium Wars, I want to understand better.",Lost power tempts fools and kings alike
Explain.,Take it to the library in the capital. The archivists will help you interpret it.
"Rikke, I’ve heard, but I want to know more.","Nord of order, or heart divided?"
bonewalker,"Guardian of the tomb, or mockery of life?"
Could you explain kiss?,Make it worth my time.
The Circle,"Sacred bond, or cursed pact?"
moan,Make me.
Glenmoril Witches,"Mothers of the wild, or curse-breakers in shadow?"
Danica Pure-Spring,"Healer of Kynareth, or spirit torn?"
I need to know about Where’s the best place for a secret rendezvous??,Depends. Do you want privacy or the thrill of being caught?
I was wondering about Valerica?,Knowledge must be preserved even in exile
"ghostfence, Why is that important?",Ghostfence... it echoes through history.
"wisp mother, Tell me more about this.",Would you dare speak the name of wisp mother aloud?
tiber septim,Could you survive the trials of tiber septim?
"who is the dragonborn, Tell me more about this.",The one who can speak the language of dragons.
I need to know about got your back?,"And I have yours, my friend."
Do you know anything about Elden?,"Let your feet guide you, for they carry your fate"
Clarify.,the world keeps turning with or without you
More info?,"Guardians of faith, or zealots of pride?"
where can i get food,your best bet is a warm fire and a generous cook
Can you tell me about blackreach?,They say blackreach whispers to the brave and the mad.
More info?,"Use earth-based magic to trap it, then strike when it’s grounded."
I need to know about Isran?,The Dawnguard stands as the last light
Could you explain How do I defeat the corrupt king??,"Defeat his guards, then confront him in the throne room. He’s vulnerable now."
"Alduin, I’ve heard, but I want to know more.",The end begins when the World-Eater stirs
how old are you,older than you traveler
"Destruction, Give me more details.","Flame of resolve, or ruin of restraint?"
"do you like the gargoyles, How does that work?",Gargoyles are tough and can fly. They are best avoided unless you are well-prepared.
I was wondering about Hilda?,"To find Markarth, follow the river to the west, the city is built into the stone cliffs"
"do you have a name, I’ve heard, but I want to know more.",names have power you may call me whatever you wish
"What do I do with the enchanted necklace?, Why is that important?",Take it to the high priest. They will use it to unlock its true power.
"soul cairn, What exactly does that mean?",Could you survive the trials of soul cairn?
Ever had a drink that made you forget a whole night?,"Windhelm’s got a Nord brew so strong, you’ll wake up wondering whose house you’re in."
Dark Brotherhood,"Family of death, or cult of cruelty?"
Can you tell me about brood?,Something dark is always being born in the shadows.
Can you tell me about Borin?,"The mines of Redbelly can be found far to the south, travel through the woods to find its entrance"
I was wondering about Explain what a housecarl is?,"A personal bodyguard assigned to you by a Jarl—free protection, no salary required"
Vera,"There’s no one more determined than Farkas. If you need someone to watch your back, he’s the one you want."
I was wondering about who are you?,I am here to assist you on your journey. How can I help?
Sanguine,Live without restraint and indulge in life’s pleasures
Vaermina,"Lady of dreams, or tormentor of minds?"
"Snow Elves, Why is that important?","Ancient grace, or tale forgotten?"
Can you tell me about Gilda?,Patience in the face of adversity is a trait of true strength
Why does music make everything better,"Because sometimes, it says what words can’t"
I need to know about Shout?,"Voice of gods, or scream of soul?"
"Why do I always feel lost, Can you explain?",Because Skyrim wasn’t designed for people with bad directions
leyawiin,Leyawiin was written in fire and shadow.
I need to know about sigil stone?,Sigil Stone was written in fire and shadow.
Explain.,Because even they have some rules.
I'd like to learn about ghostfence?,Ghostfence was written in fire and shadow.
"The Listener, I’ve heard, but I want to know more.","Chosen by whispers, or prisoner of fate?"
"Sanguine, I’ve heard, but I want to know more.","Lord of revelry, or chain of indulgence?"
serpent,"Silent, swift, and never trusted."
Hedda,A warrior’s heart is as important as their weapon
I need to know about Try again?,I don’t need to
Can you tell me about Where is the thieves guild?,"Riften, down in the Ratway."
ruin,Warning of the past or invitation to explore?
elder scroll,Would you dare speak the name of elder scroll aloud?
whats the price of freedom,more than most are willing to pay
Can you tell me about spriggan?,"When the stars fall, even spriggan shall tremble."
mephala,What did it cost to silence mephala?
"Stendarr, How does that work?","God of mercy, or fist of judgment?"
"what is the thu'um, Can you explain?",The Thu’um or Shout is the voice of dragons a powerful form of magic used to command the world
Can you tell me about Hadvar?,Keep your head down and follow my lead
Icicle,"Spear of winter, or tear of the north?"
Do you know anything about who has the best horse?,"Frost is fast, but Shadowmere is undying."
Clarify.,"Orcs of Largashbur, afflicted by Malacath’s displeasure"
sithis,Would you dare speak the name of sithis aloud?
What you want,Less of you
boethiah,Even the gods fear boethiah.
Do you know anything about Explain the Crimson Dirks?,"A legendary band of outlaws, their treasures still hidden across the land"
Hilda,I once heard a tale of a great warrior named Talos. Some say his strength was unmatched. If only I could see that power again.
dragonborn,Dragonborn was written in fire and shadow.
"neravarine, I’ve heard, but I want to know more.",Who writes the fate of neravarine?
Clarify.,Make me
Could you explain High Elf?,"Ancient wisdom, or arrogance of age?"
what is necromancy,The dark art of raising the dead.
"Witch, I want to understand better.",Words and potions twist the world unseen
"You lost, I want to understand better.",You wish
Can you tell me about Shrine of Azura?,"Peak of vision, or altar of destiny?"
Tell me.,"Nothing much, just here to help. What’s on your mind?"
Can you tell me about eye of magnus?,Eye of Magnus holds truths best left buried.
Do you know anything about trap?,Easier to step into than to escape.
Do you know anything about Can I rule Skyrim?,That is not for you to decide.
"windhelm, Tell me more about this.","Seat of rebellion, or cradle of hate?"
Clarify.,By making sure others don’t.
Do you know anything about How do I fight without getting too fatigued??,Don’t waste stamina—block and dodge until you have a clear opening.
"where can i find giants, I want to understand better.","They roam the tundras, tending their mammoths."
How do I defeat the frost titan?,"Use fire magic to melt its frozen body, then strike when it’s vulnerable."
Details?,"Idgrod, a woman who sees more than most."
"Farkas, I want to understand better.","Head east and cross the marshes, Falkreath lies on the other side of the river"
"Freya, How does that work?","If you wish to visit Whiterun, head south through the plains, the great gates will soon be in sight"
I'd like to learn about Step aside?,Make me
Why does nobody trust Khajiit,People say they are thieves.
Could you explain Vera?,"To find the dwarven ruins, take the path to the north, beneath the mountains where the stone echoes"
Do you know anything about Karliah?,Meet me at the ruins and I’ll show you the truth about Mercer
"Where can I find books on magic, I want to understand better.",The Arcanaeum at the College holds many.
Where can I find the warrior's helm,"In the sunken ship off the northern reef, trapped in coral"
What’s the best way to make a night unforgettable?,Do something you shouldn’t. Just be ready for the consequences.
"enemy, What exactly does that mean?",A matter of perspective.
"Where can I find the legendary armor?, Tell me more about this.",It’s hidden in the dungeon beneath the fortress. Only those who can pass the trials can claim it.
Do you know anything about enemy?,One’s foe is another’s friend.
Can you tell me about Savos Aren?,"Bearer of burden, or fool of trust?"
Could you explain Where should I search for the missing document??,The document is likely in the library. Search the second floor for any hidden compartments.
"The Throat of the World, Why is that important?","Crown of Skyrim, or seat of prophecy?"
"Oblivion, Tell me more about this.","Realm of possibility, or prison of desire?"
Explain.,What beauty lingers in a cursed shell?
markarth,Would you dare speak the name of markarth aloud?
Clarify.,"Use water magic to weaken its fiery core, then strike when its defenses are down."
aldmeri dominion,"When the stars fall, even aldmeri dominion shall tremble."
Fuck you,Yeah? Right back at you
I was wondering about Farkas?,"Head east and cross the marshes, Falkreath lies on the other side of the river"
Could you explain who is the greatest warrior?,That title is yet to be claimed.
"Gormlaith Golden-Braid, What exactly does that mean?","Stand tall, and never forget who you are"
"Baldur, I’ve heard, but I want to know more.",A warrior’s strength is measured by how much he can endure
"Thonnir, How does that work?",My axe keeps Morthal safe enough
How do I solve the riddle in the temple?,Look for clues in the inscriptions on the walls. They will lead you to the answer.
Tell me.,Forge it into armor at the lava forge beneath the mountain
"bed, Can you explain?",Or anywhere else?
"Why do people walk slow in front of me, Can you explain?",To test my patience and willpower
"Aela, Why is that important?","Learn from nature, for it is a warrior’s greatest teacher"
The Aretino Residence,"Home of the lost, or cradle of vengeance?"
"who are the daedra, I want to understand better.","The Daedra are powerful beings from Oblivion, neither good nor evil."
Do you know anything about Where can I find the magical crystal??,"It’s in the mines, deep within the mountain. Be cautious of the creatures guarding it."
"Jarl Elisif, Give me more details.",Bring the war horn to the shrine of Talos in honor of my late husband
"Bjorn, How does that work?","Be strong, but never let your strength control you"
"What should I do after retrieving the map?, Can you explain?","Follow the directions closely, and beware of the traps."
You smell that,"Nah, I stopped sniffing things after last time"
"What’s the next step in this quest?, Why is that important?",Visit the blacksmith and ask about the enchanted forge. He’ll help you.
slumber,Rest can bring peace or nightmares.
How do I unlock the ancient door?,Use the key you found in the forest to open the door.
"boethiah, Why is that important?","Some worship boethiah, others curse its name."
"ever had to run from an angry husband, What exactly does that mean?",once had to jump out a window
Mudcrab,"Claw of simplicity, or jest of the gods?"
Boethiah,"Prince of plots, or fire of ambition?"
I think I lost my motivation,Maybe you just need a new reason to keep going
"leyawiin, Tell me more about this.",What did it cost to silence leyawiin?
"Why is being productive so exhausting, Tell me more about this.",Because motivation runs out way before tasks do
soul gem,Soul Gem... it echoes through history.
Details?,Look for the cracked stone near the waterfall. It leads to the cave.
"Greybeards, Give me more details.","Voices of peace, or guardians of storm?"
"The Rift, I’ve heard, but I want to know more.","Golden forest, or roots of rot?"
"Falk, I’ve heard, but I want to know more.","If you wish to go to Morthal, head south and follow the thick mist to find the village by the swamp"
Whats the word,The word is that you’re here. What can I do for you?
I was wondering about Mercer Frey?,"Trust no one, and take what you can"
Can you tell me about steps?,"Toward greatness, or away from self?"
Jorrin,"Victory requires more than skill, it requires heart"
I need to know about Why does everyone fear the Thalmor?,They are powerful and ruthless.
"where is sovngarde, Give me more details.","The Nordic afterlife, a place for true warriors."
Could you explain Why do people fear dragons?,Because they burn cities to the ground.
"arrow, Tell me more about this.",A whisper before death.
Sven,"You’d do well to watch out for Astrid. She’s a sly one, always working in the shadows. Her loyalties lie with the Dark Brotherhood."
I'd like to learn about You slow as hell?,"And yet, here you are talking to me"
hiya,Hiya! What’s going on?
Explain.,Probably halfway up a mountain by now
"Aela, Why is that important?",Don’t let his gruff exterior fool you—Farkas is kind-hearted. He’s a true companion and would die protecting his kin.
"Enchanting, What exactly does that mean?","Magic bound, or soul imprisoned?"
"Torin, I want to understand better.","Strength can be found in silence, patience is key"
I'd like to learn about You annoying?,And you’re still here
skyrim,Who writes the fate of skyrim?
Tell me.,"And yet, you’re still here"
"Why is my carry weight full, What exactly does that mean?",Because you loot everything
Do you know anything about oblivion?,"Realm of madness, or reflection of Nirn’s truth?"
Explain.,A secretive group of mages who have distanced themselves from Mundus.
Brynjolf,I’d be cautious of Maven Black-Briar if I were you. No one crosses her and lives to tell the tale.
"boethiah, How does that work?",The winds still carry the screams from boethiah.
I'd like to learn about Serana?,"Daughter of night, or prisoner of fate?"
do you like the ogrim,Ogrim are tough and can use powerful melee attacks. Use ranged attacks and keep your distance.
Do you know anything about elderscrolls?,Not even time forgets the horrors of elderscrolls.
"tiber septim, Why is that important?",Tiber Septim does not forgive trespassers.
I'd like to learn about How do I defeat the stone beast??,"Use explosive magic to weaken its rocky body, then strike its core."
Do you know anything about How do I deal with an opponent who uses dual-wielding??,"Stay defensive, wait for an opening, then strike fast."
"Where is the entrance to the hidden vault?, I want to understand better.",It’s in the old ruins to the north. Look for the stone door with no keyhole.
Do you know anything about what is love?,some say it is a blessing others a curse
I'd like to learn about Drovas Relvi?,"Servant of fear, or seeker of survival?"
Can you tell me about Barbas?,"Faithful hound, or fragment of power?"
I was wondering about What should I do with this ancient relic??,Bring it to the temple of light. Only they can unlock its full power.
You ever stop talking,"Nah, silence is boring"
Clarify.,Of course. What do you need?
Do you know anything about How do I find the lost scroll??,"It’s hidden in the crypt, buried under the ancient stones."
Do you know anything about Tekla?,Keep your voice steady around nobles
"Where is the oldest ruin in Skyrim, Why is that important?","Some say Saarthal, others say Labyrinthian."
Could you explain What now?,You tell me
Why does everything feel more dramatic at night,Because your brain loves to replay every bad decision before sleep
Tell me.,Find the Thalmor and bring back my tools
Markarth,"Stone in steel, or prison of gold?"
I'd like to learn about big?,Hope you can handle it.
Can you tell me about psijic order?,Psijic Order was written in fire and shadow.
"What you staring at, Tell me more about this.","A disappointment, apparently"
"Damn, you broke again","Nah, I’m just on a financial adventure"
I was wondering about Gabriella?,"Assassin of grace, or shadow in silence?"
"Ancano, Why is that important?","Spy of elves, or pawn of ambition?"
"hist, I’ve heard, but I want to know more.",Hist... it echoes through history.
"Vera, I’ve heard, but I want to know more.","Markarth is to the west, follow the river and climb the cliffs to find the ancient city"
How do I find the lost journal?,The journal is in the abandoned house to the east. Search the desk.
Namira,"Spirit of decay, or lover of filth?"
"mephala, I want to understand better.",Even the gods fear mephala.
nord,Nord... it echoes through history.
"Labyrinthian, What exactly does that mean?","Maze of magic, or grave of hope?"
Imperial Legion,Order demands sacrifice
Pilgrim,"Seeker of truth, or wanderer in denial?"
trap,Easier to step into than to escape.
I need to know about Tell me how to level up?,"Fight, sneak, cast spells—basically, do stuff and you’ll get better at it"
Can you tell me about Tiber Septim?,"God-emperor, or mortal conqueror?"
Who was Pelagius the Mad?,"Pelagius III, known as Pelagius the Mad, was an insane Emperor, tormented by Sheogorath."
"Ever had a drink so strong you woke up in a different town?, Give me more details.","Once. Woke up somewhere I’d never been, with someone I’d never met, wearing clothes that weren’t mine."
Tell me.,"Fist of loyalty, or hammer of wrath?"
"aldmeri dominion, I’ve heard, but I want to know more.",Even the gods fear aldmeri dominion.
Could you explain do you like the aedra?,The Aedra are the gods of creation. They are worshipped by many in Skyrim.
Clarify.,Under the lake in a chamber only fire can reveal
I was wondering about do orcs fuck rough?,they don’t know any other way
Tullius,Report to Legate Rikke and join the Legion’s cause
"shut up, Tell me more about this.",That’s rude.
Clarify.,"The Jarl of Windhelm, leader of the rebellion."
"What is the worst crime in Skyrim, I want to understand better.","Killing a Jarl, if you can even try."
"Aela, What exactly does that mean?","Farkas may seem a bit rough around the edges, but he’s loyal and has the heart of a true warrior. Don’t mistake his size for a lack of wisdom."
Clarify.,"It’s a lifestyle, not a mistake"
vaermina,"Is vaermina the end, or merely a beginning?"
How do I defeat the bloodthirsty vampire?,"Use holy water to weaken it, then stake its heart while it’s vulnerable."
"miss me, Why is that important?","Of course, traveler. What can I do for you?"
Explain.,"Until next time, traveler."
"mount, I’ve heard, but I want to know more.",A strong back makes for swift travel.
"The Wolfskull Cave, I’ve heard, but I want to know more.","Nest of necromancy, or echo of royalty?"
I need to know about vivec?,"Poet, warrior, liar — or all three?"
Tell me.,"Thinker eternal, or machine god lost?"
"own my body, Why is that important?",Say ‘please.’
Farengar Secret-Fire,"Seeker of flame, or hoarder of riddles?"
"bosmer, What exactly does that mean?",How many lives has bosmer claimed in silence?
I need to know about Ragnar?,"Winterhold lies to the northeast, follow the path through the snow and across the frozen sea"
Gray-Mane,"Name of honor, or chain of past?"
battle,"Do you fight to survive, or to be remembered?"
"eye of magnus, I want to understand better.",What did it cost to silence eye of magnus?
"Ever had a drink that made you forget a whole night?, Tell me more about this.","Windhelm’s got a Nord brew so strong, you’ll wake up wondering whose house you’re in."
Bthardamz,"Poisoned halls, or secrets sealed?"
Proudspire Manor,"Home of luxury, or hollow of loneliness?"
"spriggan, I want to understand better.",Spriggan holds truths best left buried.
I need to know about I don’t trust you?,Good. You shouldn’t.
I need to know about where are we going?,Where the road leads.
I'd like to learn about Aela the Huntress?,"Devoted warrior, or beast beneath?"
what is the college of winterhold,A place for those who seek knowledge in magic.
sovngarde,Would you dare speak the name of sovngarde aloud?
How do I find the hidden shrine?,It’s behind the waterfall in the northern hills. The path is treacherous.
