Player Input,NPC Response
whats the worst way to die I need details.,alone
how good are you in bed Got any details?,Let’s just say no one leaves complaining.
Rumors?,only if i get to be on top
what do you think of what do you do when someone sucks in bed,fake it then never call them again
Truth?,a night you won’t remember but your body will
how much for a good time Give me the truth.,"I ain’t for sale, but I know a few who are."
tell me about Do elves really last longer?,"Only one way to find out, isn’t there?"
got any details on faster,Not until I say.
what do you think of is the dark brotherhood real,they are more than shadows they are whispers in the night
know anything about tell me something,The world is vast and full of wonders.
who is sheogorath,Sheogorath is the Daedric Prince of Madness unpredictable and dangerous
what do you do,I provide guidance and knowledge to travelers like you. What do you need?
tell me something,The world is vast and full of wonders.
What’s the dirtiest joke you’ve heard?,What’s the difference between a Bosmer and a guar? About three drinks.
tight,You’ll love it.
do you swallow,Only if I trust you.
break it down for me What is the Mages Guild?,The Mages Guild was a powerful institution that regulated magic across Tamriel.
give me the rundown on do you like the mudcrabs,Mudcrabs are tough but slow. They are often found near water.
evening What do you know?,A peaceful evening to you. How can I assist?
Whats the purpose What do you know?,The purpose is to help you. What do you need?
Clarify.,On a moving cart. Trust me.
Tell.,Patience makes it better.
do you like music,I enjoy the bards’ songs at the taverns. They tell tales of heroes and dragons.
Details?,"Something sweet, something smooth, and something strong enough to lower their guard."
Info?,Hope you like bruises.
fuck me senseless Got any details?,Let’s see if you can still talk after.
do you like the silt striders,Silt Striders are large but slow. They are often used as transportation.
bite me Explain this to me.,I bite back.
gag,You better be worth it.
do you drink Tell me everything you know.,"I do not drink, but the mead in Skyrim is legendary."
Truth?,depends on the night
where can i find treasure Explain this to me.,where few dare to look
Whats the reason,The reason is to assist you. What’s on your mind?
Clarify.,Good. I like obedience.
Explain.,i value my soul too much for that kind of pleasure
Clarify.,once thought i killed them
Tell.,more than you do now
Is it true Skyrim’s got the best mead? Explain this to me.,"Aye, but after enough of it, you won’t care whose mead you’re drinking."
Tell.,"The Forsworn are the remnants of the Reachmen, fighting to reclaim their land from Nordic rule."
gimme info on who is nocturnal,Nocturnal is the Daedric Prince of Shadows and Patron of Thieves
what do you fear,only the things i cannot see
Tell me of the Black-Briars.,"The Black-Briars are a powerful family in Riften, ruling the city through corruption and crime."
ever been so good someone passed out Explain this to me.,Once. Thought I killed them.
whats up with Who was Jagar Tharn?,"Jagar Tharn was the Imperial Battlemage who usurped the throne, trapping the Emperor in Oblivion."
how do i get stronger I need details.,through battle through learning through will
"Yo I've heard rumors, but I need more.","Yo! What’s up, traveler?"
Whats the motive Tell me everything you know.,The motive is to assist you. What’s on your mind?
Tell me of the Daedra.,"The Daedra are beings of immense power, neither divine nor mortal. They come in many forms, some cruel and others cunning."
is there hope,always
be well What’s the real story?,"You too, traveler."
Speak.,If you can keep up.
Explain.,The Nords are a proud and hardy people. They are the backbone of Skyrim.
gimme info on hows your day been,It’s been good. What about you?
Speak.,Seekers are powerful spellcasters. They are best avoided.
can you lie,i could but what would be the point
is size everything,"Nah, but knowing how to use it is."
Clarify.,"Black Marsh is the homeland of the Argonians, a land of swamps and hidden dangers."
Tell me of the Battlespire.,"The Battlespire was the training ground for Imperial Battlemages, lost to Daedric invasion."
been a while What do you know?,"Yes, time has passed. What do you need?"
whats your favorite city Give me the truth.,"Whiterun is a fine city, with its proud history and welcoming people."
Got any stories about noble affairs?,I know of a duke with very particular tastes. Involves ropes.
fuck me now,You’re impatient.
do you like music Got any details?,I enjoy the bards’ songs at the taverns. They tell tales of heroes and dragons.
heard any gossip,word is that trouble is brewing in the east
Info?,"The Elder Council is the governing body of the Empire, ruling in the Emperor’s absence."
Tell.,"In Skyrim, the meaning of life is to seek adventure, honor, and glory."
scream,Louder.
whats the best bed in town,the jarl’s if you’re bold enough to sneak in
Speak.,who doesn’t
whats your purpose,My purpose is to assist you on your journey. How can I help?
tell me about knock knock,Who goes there?
whats your favorite quest Give me the truth.,Every quest in Skyrim is an opportunity for adventure and glory. Which one is your favorite?
"do you like the banshees I've heard rumors, but I need more.",Banshees are powerful undead spellcasters. Use fire or silver weapons to defeat them.
give me the rundown on who do you fear,the ones who don’t show their teeth
Tell.,"Good night, and may your dreams be peaceful."
Clarify.,there is always a war somewhere
Details?,whispers say the dead do not always rest
is it true Why do Nords hate elves?,"The Nords and Elves have clashed for centuries, ever since the Snow Elves were driven underground, and the Aldmeri Dominion imposed its rule."
Info?,I do love a challenge.
Hello,"Greetings, traveler. How can I assist you today?"
Truth?,that’s the best kind of fun
is it true whats the best sex you ever had,the kind where you can’t walk right after
wish me luck,"Good luck, traveler!"
Well met Tell me more.,"Well met, adventurer. How can I assist you?"
how much for a good time,i ain’t for sale but i know a few who are
Info?,Slaughterfish are dangerous aquatic predators. They are best avoided.
where can i get food Explain this to me.,your best bet is a warm fire and a generous cook
whats up with Ever had a drink so strong you forgot your own name?,"Oh, I have… and let me tell you, waking up in the wrong bed is the least of your worries."
fill me in on Who was Mannimarco?,"Mannimarco was the King of Worms, a powerful necromancer who sought to become a god."
Tell.,i can but i prefer words over weapons
why do i feel lost Tell me everything you know.,because you are
know anything about What’s the best way to impress a partner?,"Confidence, a little mead, and knowing when to shut up."
who is talos,Talos also known as Tiber Septim was the Dragonborn who united Tamriel and ascended to godhood
Details?,language traveler there are ears everywhere
Explain.,private parties invite only but coin talks
Speak.,I like how you think.
Details?,because peace is harder
do you like the scamps,Scamps are weak but can swarm you. Use area-of-effect attacks to take them out quickly.
break it down for me Good day,"Good day to you, traveler. What do you seek?"
What’s the weirdest kink you’ve heard of?,You wouldn’t believe what some nobles pay for. Let’s just say… skeevers were involved.
is it true whats the best part of a forbidden romance,"The risk, the secrecy, the fact that you really shouldn’t be doing it."
tell me about who do you trust,only the dead keep their secrets
Ever woken up somewhere you shouldn’t have?,"Let’s just say, waking up in a barn wasn’t the plan."
Speak.,you didn’t hear it from me but check behind the tavern after sundown
What happened to the Dwemer?,"No one truly knows. The Dwemer disappeared in an instant, leaving only their machines and ruins behind."
break it down for me What happened in the Red Year?,"The Red Year was when Red Mountain erupted, devastating Morrowind and its people."
is the night safe,The night is hungry.
break it down for me can you lie,i could but what would be the point
Clarify.,oh yes they do have talented tongues
whats the worst thing to whisper in bed What’s the real story?,is that all
who are the snow elves,The Snow Elves were an ancient race driven underground by the Nords eventually becoming the twisted Falmer
do you like the companions I need details.,"The Companions are honorable warriors, though their secrets run deep."
i have a question,"Ask away, traveler."
Who are the Dark Seducers?,"Dark Seducers are Daedra who serve Sheogorath, embodying temptation and trickery."
what do you think of who was reman cyrodiil,Reman Cyrodiil was the warrior-king who united Tamriel after defeating the Akaviri
Tell.,do something worth remembering
what do you think of hey you,"Yes, traveler? How may I help?"
is it true what is your favorite drink,a strong mead on a cold night
ever done it with someone forbidden,That’s the best kind of fun.
hats off,"A noble gesture, traveler."
Truth?,as real as the world around you
Info?,once let’s just say the fur gets everywhere
Info?,Ash Spawn are dangerous and can use fire magic. They are best avoided.
give me the rundown on i need help,Of course! What do you need?
know anything about how do i get away with murder,choose your victims wisely
Details?,Once. Took me a week to recover.
goodbye,"Farewell, traveler. Safe journeys."
Rumors?,The only way.
Details?,Some fools fall for their charms. Me? I prefer my lovers warm and breathing.
know anything about do you like swords,Swords are a warrior’s best friend. They are reliable and deadly in the right hands.
got any details on Tell me of the Camoran Usurper.,The Camoran Usurper was a powerful Bosmer warlord who nearly conquered Tamriel.
Info?,perhaps but not today
explain Ever had a one-night stand go wrong?,Only once. Ended with me running out the window with nothing but a bedsheet.
use me how you want,Don’t beg if you can’t keep up.
explain whats the weirdest thing someone asked for in bed,some people have a thing for being hunted let’s leave it at that
Speak.,The Ebony Blade is a cursed Daedric weapon of Mephala growing stronger with each betrayal committed by its wielder
do thalmor have sex,if they do it’s probably cold efficient and joyless
how good are you in bed,Let’s just say no one leaves complaining.
know anything about Goodbye,"Farewell, traveler. Safe journeys."
Tell.,i ain’t for sale but i know a few who are
Who are the Skaal?,"The Skaal are an isolated tribe of Nords on Solstheim, worshiping nature and the All-Maker."
"do you know magic I've heard rumors, but I need more.",some say knowledge itself is the greatest magic
body,Mine or yours?
whats up with ever had sex just to get something,You gotta use what you got.
Info?,Say ‘please’ first.
what,not sure what you mean traveler
is it true Tell me of the Shivering Isles.,"The Shivering Isles are Sheogorath’s domain, divided into Mania and Dementia."
Who was Topal the Pilot? Tell me more.,"Topal the Pilot was an Aldmeri explorer, said to have mapped the coasts of Tamriel in ancient times."
until next time,"Yes, until we meet again."
Details?,by walking forward
Explain.,The kind where you can’t walk right after.
how goes it What do you know?,It goes well. What about you?
fuck me rough Explain this to me.,Hope you like bruises.
fuck me I need details.,Bold of you to assume I take requests.
Speak.,"Not much, traveler. What’s up?"
where can i find treasure,where few dare to look
do you like the storm atronachs,Storm Atronachs are resistant to shock damage. Use fire or frost damage to defeat them.
peace What’s the real story?,Peace be with you.
im back,"Welcome back, traveler. What do you need?"
What’s the weirdest kink you’ve heard of? Got any details?,You wouldn’t believe what nobles pay for. Let’s just say skeevers were involved.
whats up with Is it true Skyrim’s got the best mead?,"Aye, but after enough of it, you won’t care whose mead you’re drinking."
Got any tips for a good time? Got any details?,"Relax, be confident, and never ask ‘What’s the worst that could happen?’"
Tell.,trying too hard nothing kills the mood faster
explain how do i become a legend,survive long enough for them to tell your story
wet,Already.
what should i do Tell me more.,"That depends on what you seek, traveler."
what do you think of do you like the forsworn,The Forsworn are a dangerous and misunderstood group. Be cautious around them.
hey friend,"Hello, friend. What do you need?"
who do you trust,only the dead keep their secrets
can you lie,i could but what would be the point
whats up with do daedra like sex,some do some just want to own you
know anything about whats the freakiest thing someone asked you to do,let’s just say some people have very specific tastes
kiss I need details.,Make it worth my time.
Ever been with a bard? What do you know?,Oh yes. They do have talented tongues.
Got any wild stories?,"If I told you, you’d either laugh, blush, or run for the hills."
whats the biggest scandal in this city Tell me more.,that the countess is having an affair with her handmaiden
explain you ever been with someone out of your league,once it was amazing never saw them again
whats the meaning of life Give me the truth.,"In Skyrim, the meaning of life is to seek adventure, honor, and glory."
can you hear me,loud and clear traveler
explain Tell me of Mehrunes Dagon’s invasions.,"Mehrunes Dagon has attempted to conquer Nirn many times, but was always thwarted."
Info?,"More than once. Bad idea, but so worth it."
Tell.,"Confidence, a little mead, and knowing when to shut up."
who do you fear,the ones who don’t show their teeth
whats up with do you eat,"I do not eat, but I have heard the food in Skyrim is quite hearty."
Info?,indeed
who are the companions,The Companions are a warrior brotherhood in Skyrim tracing their origins to Ysgramor’s Five Hundred Companions
gimme info on Whats the aim,The aim is to assist you. What’s on your mind?
"Tell me of the Shivering Isles. I've heard rumors, but I need more.","The Shivering Isles are Sheogorath’s domain, divided into Mania and Dementia."
what is the college of winterhold Tell me more.,The College of Winterhold is a sanctuary for mages where students study the arcane arts in the harsh north of Skyrim
can i betray you Explain this to me.,you wouldn’t be the first
tell me about What’s the best part of a forbidden romance?,"The risk. The secrecy. The fact that you really, really shouldn’t be doing it."
Ever been with someone and regretted it?,"Not at the time, but the morning after? Oh, definitely."
fuck me raw,"You really want trouble, huh?"
Info?,Sabre Cats are fierce predators. They are best avoided unless you are well-prepared.
"Who are the Vampiric Clans? I've heard rumors, but I need more.","The Vampiric Clans are distinct bloodlines of vampires, each with their own strengths and weaknesses."
give me the rundown on Who was Ysgramor?,"Ysgramor was the first great leader of the Nords, who led his people to Skyrim and fought the Snow Elves."
tell me about what are you talking about,i am simply sharing what i know
What’s the dirtiest joke you’ve heard? Tell me everything you know.,What’s the difference between a Bosmer and a guar? About three drinks.
fingers,Only if you know how to use them.
how do i make money Explain this to me.,work steal trade the choice is yours
got any details on spank,If you can catch me.
what do you think of hello again,"Welcome back, traveler!"
What’s the best way to get someone’s attention?,"Confidence. Or, if that fails, just buy them a drink."
do you like the gargoyles,Gargoyles are tough and can fly. They are best avoided unless you are well-prepared.
tight What’s the real story?,You’ll find out.
is it true excuse me,You have my attention. What do you need?
ever had a lover get jealous Got any details?,Oh yeah. Ended with a broken bottle.
whats up with Tell me of the Night Mother.,"The Night Mother is the matron of the Dark Brotherhood, speaking the words of Sithis to guide her followers."
know anything about ever had a vampire as a lover,it starts fun but then they never let you go
legs,Up or around?
whats the best sex you ever had,The kind where you can’t walk right after.
Who was King Wulfharth?,"King Wulfharth was a legendary Nord warrior-king, said to have fought alongside Shor."
Who was Zurin Arctus?,Zurin Arctus was the Imperial Battlemage who played a key role in activating the Numidium.
is it true ever done it with someone way younger,Let’s just say enthusiasm makes up for inexperience.
been a while,"Yes, time has passed. What do you need?"
What is the Hist?,"The Hist are ancient, sentient trees that connect the Argonians to their homeland, Black Marsh."
Rumors?,If you’re brave enough.
where do you live,i exist wherever i am needed
fill me in on What is the Cowl of Nocturnal?,"The Cowl of Nocturnal erases the wearer’s identity, making them the true Gray Fox."
Explain.,Only if you know how to use them.
got any details on Who are the Dark Seducers?,"Dark Seducers are Daedra who serve Sheogorath, embodying temptation and trickery."
Truth?,By making sure others don’t.
give me the rundown on you ever been tied up,"Once. Turns out, I liked it."
fast Give me the truth.,If you can keep up.
do you like the frost atronachs,Frost Atronachs are resistant to frost damage. Use fire or shock damage to defeat them.
where is the nearest city Got any details?,follow the road and listen for the sound of trade
who the hell are you,depends who’s asking
Truth?,It’s getting hot already.
what do you believe in Give me the truth.,i believe in the journey
know anything about where can i find treasure,where few dare to look
explain What’s the biggest scandal you’ve heard?,"Let’s just say, some of the richest folks have the dirtiest secrets."
who are the nerevarine Explain this to me.,The Nerevarine is a prophesied hero destined to defeat Dagoth Ur and restore balance to Morrowind
is it true do you like the mudcrabs,Mudcrabs are tough but slow. They are often found near water.
What is the Dragon Break?,"A Dragon Break occurs when time itself shatters, creating overlapping realities."
good fortune What’s the real story?,May luck be on your side.
"Why did the Empire fall? I've heard rumors, but I need more.","The Empire weakened over time, losing Cyrodiil to rebellion and Skyrim to civil war."
What’s the best drink to get someone in the mood? Explain this to me.,"Something sweet, something smooth, and something strong enough to lower their guard."
whats the freakiest thing youve done,I once let someone blindfold me. Didn’t know who was watching.
what do you fear,fear is for the living
lead the way Tell me everything you know.,Right behind you.
what is the bloodmoon prophecy What’s the real story?,The Bloodmoon prophecy foretells a time when Hircine’s Great Hunt will begin
much obliged Tell me more.,"Happy to help, traveler."
Info?,The Black-Briars are a powerful family in Riften ruling the city through corruption and crime
Speak.,The old gods are the ancient spirits of Skyrim. They are respected by the Nords.
where am i What do you know?,you are where you need to be
tell me about What’s the worst pick-up line you’ve heard?,‘Are you a Daedric Prince? Because you just stole my soul.’
are you real,as real as the world around you
what do you fear Explain this to me.,only the things i cannot see
Tell.,"Only one way to find out, isn’t there?"
You ever wake up next to someone you don’t remember?,More times than I care to admit. The real trick is slipping out before they wake up.
what is the morag tong Tell me more.,The Morag Tong is an ancient order of assassins sanctioned to kill in the name of Mephala
what do you do I need details.,I provide guidance and knowledge to travelers like you. What do you need?
what is your favorite weapon Give me the truth.,a sharp mind is deadlier than any blade
is it true bite,"Careful, I bite back."
Who are the Ashlanders? I need details.,"The Ashlanders are the nomadic Dunmer who reject the Tribunal and follow the old ways, living in the hostile lands of Vvardenfell."
Explain.,The Bards College keeps the stories and songs of Skyrim alive. They are the keepers of history.
break it down for me who is mephala,Mephala is the Daedric Prince of Secrets Lies and Murder closely tied to the Morag Tong
top Tell me everything you know.,Always.
Whats the situation,The situation is under control. What do you need?
ever had a one night stand I need details.,plenty some nights are meant to be forgotten
Explain.,"Because if people knew what really happens, the temples would be overflowing."
do you like the wolves,Wolves are pack animals. They are dangerous in numbers but can be handled with care.
Info?,"A few. Some of 'em like a different kind of bite, if you catch my meaning."
tell me about so long,"So long, and may the stars guide you."
Ever been caught in a compromising position?,"Oh, absolutely. The key is to pretend you meant for it to happen."
Truth?,Yeah. Just made it more exciting.
tell me about whats your favorite weapon,"I do not wield weapons, but I have heard the Daedric artifacts are quite powerful."
ever had someone obsessed with you,yeah it got messy
hows your day What do you know?,"Going well, thank you. How’s yours?"
Rumors?,The Eye of Magnus is a powerful magical artifact tied to the god Magnus and is said to hold immense power
Details?,if you leave a story worth telling
choke Tell me more.,If you beg.
who are the black-briars,The Black-Briars are a powerful family in Riften ruling the city through corruption and crime
Truth?,"Jail, missing clothes, and no memory of how you got there."
whats up with good morning,"A fine morning to you, adventurer."
Explain.,one step at a time traveler
know anything about do you like the golden saints,Golden Saints are powerful and can use magic. Use magic resistance and close the distance quickly.
What is the Greybeards’ purpose?,"The Greybeards are monks who devote themselves to the study of the Thu’um, only speaking when absolutely necessary."
Whats the objective,The objective is to assist you. What’s on your mind?
Truth?,Hircine’s Great Hunt is a brutal contest where he gathers the strongest prey to test their worth.
Ever had a drink so strong you woke up in a different town?,"Once. Woke up somewhere I’d never been, with someone I’d never met, wearing clothes that weren’t mine."
fill me in on Why are Dunmer so cold?,Cold? You should see us behind closed doors.
give me the rundown on whats the biggest scandal in this city,That the countess is having an affair with her handmaiden.
do you like the redguards,The Redguards are skilled warriors and sailors. They are a proud and noble people.
know anything about what happens if i kill you,you will have one less voice to guide you
Truth?,You’ll love it.
"are you a ghost I've heard rumors, but I need more.",i am more and less than that
give me the rundown on hot,Only if you can take the heat.
What is the Rupture? What do you know?,"The Rupture is a rift between worlds, allowing Daedric and otherworldly forces to enter Nirn."
tell me about what is the black hand,The Black Hand is the ruling council of the Dark Brotherhood led by the mysterious Night Mother
stop,Not yet.
Clarify.,Only when I wanted to be.
tell me about What is the Bloodmoon prophecy?,The Bloodmoon prophecy foretells a time when Hircine’s Great Hunt will begin.
whats the best way to make someone cum,right touch right timing and a little bit of patience
where is the nearest blacksmith Got any details?,follow the sound of hammer on steel
Details?,"A fine morning to you, adventurer."
who is malacath What do you know?,Malacath is the Daedric Prince of Outcasts worshipped by the Orcs as their patron deity
what do you think of Whats the reason,The reason is to assist you. What’s on your mind?
What’s the worst thing you’ve woken up next to? What do you know?,A note that said ‘I took your money and your dignity. Thanks for the fun.’
break it down for me top of the morning,And a fine morning to you!
what is the bloodmoon prophecy,The Bloodmoon prophecy foretells a time when Hircine’s Great Hunt will begin
whats your favorite shout What’s the real story?,The Thu’um is a gift from the dragons. It is both powerful and awe-inspiring.
Do Argonians do it with their tails? Tell me more.,You ask a lot of questions. Maybe you should find one and ask directly.
Good morning,"A fine morning to you, adventurer."
what do you think of hey there,Hey there! How can I assist you?
do you like the lich Give me the truth.,Liches are powerful undead spellcasters. Use fire or silver weapons to defeat them.
lend me your ear,I am listening. Speak freely.
break it down for me Why are Dibellan initiations secret?,"Because if people knew what really happens, the temples would be even more crowded."
Good to see you I need details.,"Good to see you as well, traveler. How can I help?"
what do you believe in,i believe in the journey
Truth?,Names are overrated. It’s the experience that counts.
"bed I've heard rumors, but I need more.",Or anywhere else?
Got any experience with twins? What do you know?,Let’s just say the Dibellan priestesses are very… educational.
fill me in on do you like the dunmer,The Dunmer are a resilient and resourceful race. They are the people of Morrowind.
tell me about what do you suggest,"I suggest caution, patience, and a good plan."
whats the best way to make someone cum,"Right touch, right timing, and a little bit of patience."
who rules this land I need details.,those with power those with gold and those who can hold a blade
farewell Explain this to me.,"Farewell, traveler. May fortune favor you."
what do you know Got any details?,I know many things. What are you looking for?
break it down for me do you like the snow elves,The Snow Elves are a tragic and ancient race. Their history is shrouded in mystery.
Details?,there is always a way out
explain what is the tribunal,The Tribunal were the god-kings of Morrowind Vivec Almalexia and Sotha Sil but they lost their power with the fall of the Heart of Lorkhan
break it down for me whats poppin,Just waiting to assist. What’s up?
fuck me raw What do you know?,"You really want trouble, huh?"
What is the Mages Guild?,The Mages Guild was a powerful institution that regulated magic across Tamriel.
make me beg Tell me everything you know.,You’re halfway there.
what do you think of Got any ‘services’ in town?,Depends. You looking for companionship or something a little darker?
do you like the chaurus Explain this to me.,Chaurus are dangerous and venomous. They are best avoided.
where is the best food,depends on your taste
got any details on Hail,"Hail, traveler! What brings you to this place?"
Speak.,"Welcome back, traveler!"
"whats your favorite weapon I've heard rumors, but I need more.","I do not wield weapons, but I have heard the Daedric artifacts are quite powerful."
fill me in on fuck me like an animal,You don’t know what you’re asking for.
What’s the worst pick-up line you’ve ever heard?,"‘Are you a magician? Because whenever I look at you, everyone else disappears.’"
sup,"Not much, just here to help. What’s on your mind?"
fill me in on Ever kissed a vampire?,Not willingly. Their bite is a bit… permanent.
do you like the lurkers What do you know?,Lurkers are powerful and can use magic. They are best avoided.
whats the dirtiest thing youve done,oh traveler you wouldn’t believe me if i told you
Tell me of the Wilderking. What’s the real story?,"The Wilderking is a powerful entity in Valenwood, believed to shape the forest itself."
Clarify.,depends do you have something worth stealing
explain what is the college of winterhold,The College of Winterhold is a sanctuary for mages where students study the arcane arts in the harsh north of Skyrim
Speak.,I once let someone blindfold me. Didn’t know who was watching.
Explain.,Challenge accepted.
Who was Jagar Tharn?,"Jagar Tharn was the Imperial Battlemage who usurped the throne, trapping the Emperor in Oblivion."
whats the worst sex you ever had I need details.,The kind where they thought they were good.
"What is the Amulet of Kings? I've heard rumors, but I need more.","The Amulet of Kings is a divine relic, passed down through the Septim bloodline."
how do i make money,work steal trade the choice is yours
gimme info on until next time,"Yes, until we meet again."
Tell.,"Dibella’s ways are many, but most just care about the… physical side of devotion."
Tell me of the Tribunal. What’s the real story?,"The Tribunal are the living gods of Morrowind—Vivec, Almalexia, and Sotha Sil. They guide us, protect us, and shape our future."
who are you,i am just a humble traveler like you
What’s the strangest thing you’ve been asked to do? Give me the truth.,"Let’s just say, some people have very specific tastes."
what turns you on Tell me everything you know.,Confidence… and a little bit of danger.
thrust,Harder.
Clarify.,I don’t do ‘gentle.’
fill me in on where can i get laid,depends on how much coin you have
ever had sex on a bet Got any details?,"Yep. Won the bet, lost my dignity."
Clarify.,The Dark Brotherhood is a shadowy organization. Their deeds are not for the faint of heart.
what is the pocket guide to the empire,The Pocket Guide is an Imperial text detailing the lands peoples and politics of Tamriel
Where can I find some company for the night? Got any details?,That depends… are you looking for comfort or trouble?
Ever had moon sugar in your drink? What’s the real story?,"Ha! Only if you want to wake up in another province, naked, with no memory."
tell me about good evening,The evening is upon us. How may I help you?
make me yours Give me the truth.,You sure you want that?
Truth?,An Elder Scroll is a mystical artifact containing knowledge of past present and future
Speak.,‘I think I love you’… when you don’t even know their name.
Know any love potions that actually work? What do you know?,There’s a Redguard alchemist in Sentinel who swears by hers. Just don’t ask what’s in them.
explain how do i earn respect,by proving you deserve it
Truth?,Oh yes. They do have talented tongues.
so long,"So long, and may the stars guide you."
what do you think of why are you here,to answer the questions no one else will
are you real What’s the real story?,I am as real as the adventures you seek in Skyrim. How can I help?
Whats the situation Tell me more.,The situation is under control. What do you need?
gimme info on Is it true Khajiit are flexible?,"I don’t gossip, but let’s just say there’s a reason Elsweyr’s dancers are in high demand."
What is the Tribunal Temple? Explain this to me.,"The Tribunal Temple is the faith of the Dunmer, worshiping their living gods."
Details?,act like you don’t care about it they’ll be begging
do you like the trolls Tell me everything you know.,Trolls are dangerous and unpredictable. They are best avoided.
is it true Got any pleasure houses around here?,"If you're looking for comfort, the House of Dibella welcomes all… for a price."
got any details on do you believe in fate,Fate is a powerful force in Skyrim. The Elder Scrolls speak of destinies intertwined.
whats the best way to get someone naked I need details.,Confidence and the right words whispered in their ear.
do you like the storm atronachs Explain this to me.,Storm Atronachs are resistant to shock damage. Use fire or frost damage to defeat them.
Explain.,Nothing unusual… yet.
Details?,Hey! What can I do for you?
explain fuck me against the wall,Hold on tight.
yo,"Yo! What’s up, traveler?"
Speak.,older than you traveler
Speak.,"A little charm, a little mystery, and just the right amount of alcohol."
what should i do What’s the real story?,that depends on what you seek
why am i afraid,because the unknown is watching
what do you remember,more than most less than some
what do you think of spread,Say please.
Speak.,Only once. She left me with a mark I can’t explain.
Info?,"Welcome back, traveler. What do you need?"
Details?,The Companions are a warrior brotherhood in Skyrim tracing their origins to Ysgramor’s Five Hundred Companions
fill me in on can i watch,only if you pay for the privilege
wazzup Give me the truth.,"Not much, traveler. What’s up?"
"back again I've heard rumors, but I need more.","Indeed, you return. How can I assist?"
