Player Input,NPC Response
Could you explain chant?,"Do the words empower, or enslave?"
What is the Elder Council?,"The Elder Council is the governing body of the Empire, ruling in the Emperor’s absence."
judgment,"Final word, or first misunderstanding?"
Ullr,The best warriors never stop learning
"Malacath, I’ve heard, but I want to know more.","God of outcasts, or father of rage?"
Clarify.,Take it to the temple of the moon. They’ll know how to unlock its power.
Step back,Why don’t you step forward and do something
Details?,"Lockpick fast, run faster"
danger,Closer than you think.
More info?,your best bet is a warm fire and a generous cook
Can you tell me about what is the thieves guild?,"A secretive group of criminals, based in Riften."
Hilda,"Your strength is your most valuable asset, protect it"
The Throat of the World,"Crown of Skyrim, or seat of prophecy?"
"What’s the biggest scandal in this city?, Tell me more about this.",That the countess is having an affair with her handmaiden.
I'd like to learn about wisp mother?,"Some worship wisp mother, others curse its name."
I'd like to learn about ever slept with a noble?,once ended with me running half naked from a castle crossbow bolts flying
"Yo, stop talking, I want to understand better.",Make me
Torch,"Burning guide, or symbol of defiance?"
lightning,"Fast, deadly, and leaves little behind."
Could you explain ever had sex with someone dangerous?,"More than once. Bad idea, but so worth it."
"who is the jarl of whiterun, Why is that important?","Jarl Balgruuf, a ruler caught between war and duty."
what is the night mother,The Night Mother is the matron of the Dark Brotherhood speaking the words of Sithis to guide her followers
What’s the best way to use a sword?,"Keep it light, and never forget to defend. A swift strike can be as powerful as a heavy one."
Do you know anything about why does this matter?,everything matters until it doesn’t
Witch Heads,"Cleansers of curse, or trophies of guilt?"
I need to know about alduin?,What did it cost to silence alduin?
Can you tell me about What happened to the Dwemer??,"No one knows for certain. They vanished without a trace, leaving only their machines behind."
Do you know anything about sotha sil?,How many lives has sotha sil claimed in silence?
"ruler, How does that work?",No throne is ever truly secure.
Can you tell me about snow elves?,Even the gods fear snow elves.
"Magnus, How does that work?","Architect of magic, or fugitive of duty?"
I was wondering about future?,"Yours to make, or already decided?"
Arkay,"Guardian of end, or gatekeeper of rebirth?"
"Argonian, Give me more details.","Children of the Hist, or strangers to all?"
how do i get the thief stone,"Find it at the Guardian Stones, southwest of Riverwood."
fast,If you can keep up.
"miraak, Can you explain?",What did it cost to silence miraak?
"How do I fight someone with high agility?, Can you explain?","Anticipate their moves, and try to land a hit when they’re off balance."
"Why you always in your phone, Give me more details.",It’s better than reality
Details?,Always
Do you know anything about Jarl Balgruuf?,"Voice of reason, or puppet of politics?"
"who is meridia, Can you explain?",The Daedric Prince who despises the undead.
hist,Would you dare speak the name of hist aloud?
I'd like to learn about You serious?,Always
"Where can I find the legendary dagger?, What exactly does that mean?",It’s hidden in the caves beneath the cliffs. Be prepared for the creatures guarding it.
Tell me.,"Fast enemies are all about timing. Wait for them to make a mistake, and counter when they leave themselves open."
"where did the dwemer go, How does that work?",No one knows for sure The Dwemer vanished in an instant leaving only ruins and machines
Could you explain Erik?,"Fight with purpose, and the world will bow before you"
Details?,Alduin’s Wall does not forgive trespassers.
I need to know about The Staff of Magnus?,"Tool of godhood, or burden of balance?"
I'd like to learn about psijic order?,"Some worship psijic order, others curse its name."
Can you tell me about ritual?,"Magic woven into action, binding fate itself."
sithis,Sithis... it echoes through history.
More info?,"Dark underbelly, or forgotten vault?"
I was wondering about neravarine?,What did it cost to silence neravarine?
I need to know about Brom?,"Stay alert, for danger often lurks where you least expect it"
"Hall of Valor, I want to understand better.","Feast of champions, or echo of legends?"
murkmire,Would you dare speak the name of murkmire aloud?
"Greta, Tell me more about this.",Honor and courage carry more weight than gold
How do I find the missing person?,"Last seen near the river, check along the path leading out of town."
"Get lost, I’ve heard, but I want to know more.",You first
Sky Haven Temple,The wall speaks to those who understand dragons
Are dragons real?,They were myths… until they weren’t. Now they rain fire from the skies once more.
Explain.,"A cursed soul, half-man, half-beast."
"How do I defeat the stone titan?, Why is that important?","Use fire magic to weaken it, then attack with your strongest weapon."
Tell me about the Dragon Cult.,"A fanatical order that once worshipped dragons as gods, long before their fall."
"Ever been tempted by someone you shouldn’t have?, Give me more details.",That’s the best kind of temptation.
Do you know anything about how do i become a vampire?,"Let a vampire bite you, or seek the Volkihar."
More info?,Let a vampire bite you… or just wake up one day regretting your choices
Arkngthamz,"Echo of harmony, or ruin of betrayal?"
Could you explain How do I gain favor with the gods?,"Pray at their shrines, walk their path."
"The Red Year, Tell me more about this.","Time of fire, or rebirth of fate?"
"Potema, Give me more details.","Necromancer queen, or victim of ambition?"
I'd like to learn about brood?,Something dark is always being born in the shadows.
"stormcloak, Give me more details.",Stormcloak was written in fire and shadow.
More info?,once thought i killed them
I was wondering about Baldur?,"The road to Riften is to the southeast, through the woods and over the marshes"
dragonborn,Dragonborn was written in fire and shadow.
Who are the Remnants?,"The Remnants are the last survivors of the lost kingdom of Yokuda, seeking to reclaim their heritage."
Could you explain Bye?,"Take care, and may the gods watch over you."
"what is an atronach, Tell me more about this.","A magical construct, bound to the elements."
Can you tell me about Describe what happened to the College of Winterhold?,Some say the Great Collapse was a natural disaster—others blame reckless magic
Could you explain Do NPCs ever shut up?,Not really
Birka,"The storm cannot be stopped, but it can be survived"
I'd like to learn about Do you have any tips for using a bow??,"Aim for the head, and stay hidden. Speed is key."
"Stendarr, Tell me more about this.","Lord of mercy, or hammer of justice?"
I was wondering about Erik?,"To reach Markarth, follow the river west, the stone city will soon appear in the cliffs"
"Ever traveled far from here, Can you explain?",A few times. Everywhere’s got its problems though
I was wondering about who are the nerevarine?,The Nerevarine is a prophesied hero destined to defeat Dagoth Ur and restore balance to Morrowind
I'd like to learn about The Black Door?,"Threshold to family, or gate to ruin?"
Can you tell me about Orcs?,"Clan of strength, or outcast kin?"
Details?,"Use fire magic to melt her icy shield, then strike at her exposed form."
How do I rescue the captured townsfolk?,"The bandits are camped out by the old bridge. Sneak in, take them out quietly."
sigil stone,Sigil Stone holds truths best left buried.
"Got any… ‘special’ books?, I’ve heard, but I want to know more.","If you like your literature scandalous, try the locked shelf in the bookstore."
Bujold the Unworthy,Prove your strength to Hrothmund and lead with honor
More info?,"Cold can wear you down faster, so keep your health up and your stamina high. Frostbite will slow you down, so avoid getting hit by freezing attacks."
"You slow as hell, What exactly does that mean?","I’d slow down for you, but I don’t wait on fools"
Explain.,Return to the village and tell the villagers. They’ll reward you handsomely.
What should I do with the enchanted scroll?,Take it to the wizard in the tower. They will decipher its ancient language.
kwama,Have you ever walked the ruins of kwama?
"elinhir, Tell me more about this.",Would you dare speak the name of elinhir aloud?
More info?,depends what you like stamina nords passion dunmer mystery khajiit
Haafingar,"Crown of the north, or stage of puppets?"
"whisperwood, I want to understand better.",A place where the trees speak.
Could you explain falmer?,Falmer... it echoes through history.
How do I open the gate of whispers,Whisper your true name to the stone and it will respond if you are worthy
More info?,"Indeed, traveler. What do you need?"
"who is molag bal, I want to understand better.",Daedric Prince of domination and vampires.
Explain.,"Yes, I am here. How can I help?"
where can i find daedric weapons,"Seek the shrines, complete their tasks."
Could you explain elderscrolls?,Elderscrolls holds truths best left buried.
Amulet,"Worn protection, or link to beyond?"
Can you tell me about Sky Haven Temple?,"Hall of legends, or shrine of purpose?"
I'd like to learn about stormcloak?,How many lives has stormcloak claimed in silence?
"do you like the dunmer, How does that work?",The Dunmer are a resilient and resourceful race. They are the people of Morrowind.
"apocrypha, Tell me more about this.",Who writes the fate of apocrypha?
"sigil stone, How does that work?",Sigil Stone was written in fire and shadow.
"Can I steal this, How does that work?",Only if you want to see the inside of a jail cell.
I was wondering about Vokun?,"Shadow voice, or mask of duty?"
"Why, I want to understand better.",Because I said so
Orichalcum,"Warrior's choice, or forgotten ore?"
hope,"Light in the dark, or illusion in disguise?"
"What’s the first step of this journey?, How does that work?",Gather information from the local innkeeper. They know who’s been traveling in the area.
I'd like to learn about can i betray you?,you wouldn’t be the first
How do I defeat the vampire lord?,Use silver and sunlight to weaken him. Then strike while he’s vulnerable.
Explain.,Not as ugly as your attitude
Could you explain How do I defeat the dark knight??,"Avoid his sword strikes, and use magic to weaken his armor before attacking."
"Talvas Fathryon, I want to understand better.","Magic is not trial and error, it is precision"
Can you tell me about Where can I find the magical spear??,It’s hidden in the old ruins to the north. Look for the stone pillar marking the entrance.
"sotha sil, Tell me more about this.",How many lives has sotha sil claimed in silence?
"soul gem, Why is that important?",Who writes the fate of soul gem?
"falkreath, What exactly does that mean?",Could you survive the trials of falkreath?
Do you know anything about vaermina?,Dreams as truth or torment?
"so long, Can you explain?","So long, and may the stars guide you."
"whats the freakiest thing youve done, Give me more details.",I once let someone blindfold me. Didn’t know who was watching.
I need to know about Festus Krex?,Poison in the right hands is deadlier than any sword
Dukaan,Frost chills those who stand in my path
Explain.,Only one dragon priest walks the path of fire
how do i buy a house,Speak to a Jarl’s steward.
spellbook,"Knowledge bound in pages, waiting to be unleashed."
Tell me.,"It’s beneath the old castle, hidden behind a false wall."
"Step back, I want to understand better.",Why don’t you step forward and prove something
"college of winterhold, Give me more details.","Some worship college of winterhold, others curse its name."
sigil stone,They say sigil stone whispers to the brave and the mad.
"Ever heard of a vampire-human romance working?, What exactly does that mean?",Only if the human doesn’t mind aging while the other stays the same.
"The Candlehearth Hall, Why is that important?","Inn of warmth, or haven of old sorrow?"
where can i learn destruction magic,The College of Winterhold has the answers.
"harbinger, Why is that important?","One who comes before, bringing warning."
rimmen,Could you survive the trials of rimmen?
Do you know anything about what is the great war?,A brutal conflict between the Empire and the Aldmeri Dominion.
arrows,A well-placed arrow can change the fate of kings.
apocrypha,Could you survive the trials of apocrypha?
Could you explain hist?,Would you dare speak the name of hist aloud?
Can you tell me about What is the best one-handed weapon?,A blade that fits your grip well.
I'd like to learn about Time Wound?,"Scar of power, or gateway to undoing?"
work,"Forges, farms, and contracts—take your pick."
More info?,"Light in darkness, or weapon of judgment?"
Details?,Place it into the shrine in the grove to awaken the spirits
What’s the best strategy when fighting a powerful foe with minions?,"Take out the minions first to reduce the pressure. Once they’re gone, you can focus all your attention on the boss."
"snow elves, What exactly does that mean?",Snow Elves does not forgive trespassers.
Do you know anything about Khajiit?,"Faces of the moon, or mirrors of fate?"
"rich, Tell me more about this.",Not as much as I’d like.
Do you know anything about Sven?,"The road to Solitude lies west, follow the stone path and the city’s gates will rise before you"
"Why is this chicken so important, What exactly does that mean?","Because if you hit it, the whole town will hit back"
riften,City of thieves or last hope of change?
"Eir, How does that work?","The snow will fall, but we will rise with it"
"draugr, What exactly does that mean?","Guardians of glory, or prisoners of memory?"
"Astrid, Tell me more about this.",Go to the abandoned shack and choose who lives
"crypt, I’ve heard, but I want to know more.",Burial or beacon of danger?
"Where can I find the lost ring?, Give me more details.",It’s in the tomb beneath the mountain. Look for the hidden lever to open the door.
"Can I pet the dog, What exactly does that mean?","Yeah, but it might start talking back"
who runs solitude,"Elisif the Fair, widow of the fallen king."
Olaf,"The road to Riften lies southeast, follow the winding trail through the woods and across the marshes"
Could you explain Can I buy a house?,"If you have got the gold, talk to the steward."
Explain.,Every quest in Skyrim is an opportunity for adventure and glory. Which one is your favorite?
Aetherium,"Gem of unity, or cause of ruin?"
rimmen,"Some worship rimmen, others curse its name."
mournhold,Have you ever walked the ruins of mournhold?
Who is the Emperor,"Titus Mede II, sits on the Ruby Throne."
I was wondering about Bracers?,"Guard of arms, or symbol of chains?"
"Illusion, Why is that important?","Veil of mind, or master of senses?"
Could you explain Where is the entrance to the hidden cave??,It’s behind the waterfall in the forest. Look for the glowing stone.
Explain.,"Trust no one, and take what you can"
faith,"Is it chosen, or inherited?"
Do you know anything about do you like the giants?,Giants are peaceful but territorial. They are best left alone.
Can you tell me about falmer?,What did it cost to silence falmer?
"Raul, Tell me more about this.","It is not the size of your sword, but the courage in your heart that matters"
More info?,"They serve their own cause, whatever it may be."
"Ria, What exactly does that mean?",Let me prove I belong among you
Aetherium Wars,Lost power tempts fools and kings alike
coldharbour,Would you dare speak the name of coldharbour aloud?
"spriggan, How does that work?",Who writes the fate of spriggan?
"mephala, Why is that important?",Who writes the fate of mephala?
Lord Harkon,"King of night, or tyrant of decay?"
Scrolls,"Script of truth, or chaos inscribed?"
how do i become a werewolf,Join the Companions and seek their secret.
Could you explain are you scared?,Not yet.
I was wondering about Gabriella?,"Killer in silk, or blade in bloom?"
How can I avoid traps in combat?,"Watch the environment closely. Look for signs of traps—suspicious pressure plates, glowing runes, or strange patterns in the terrain. Stay alert."
"Sigil, How does that work?","Bound essence, or secret made flesh?"
"Ash Spawn, Can you explain?","Fury of Morrowind, or curse of ash?"
whats the longest youve gone,Long enough to leave a mark.
I'd like to learn about whats the weirdest thing someone asked for in bed?,"Let’s just say, some people are really into feet."
Can you tell me about The Circle?,"Sacred bond, or cursed pact?"
eternal,Nothing truly lasts forever.
I was wondering about map?,Skyrim is vast. Mark your path wisely.
Could you explain Glenmoril Witches?,"Mothers of the wild, or curse-breakers in shadow?"
light,Clarity or exposure?
I was wondering about fuck me harder?,You might regret asking.
"psijic order, Tell me more about this.",Could you survive the trials of psijic order?
"Ice Wraith, What exactly does that mean?","Frozen terror, or guardian of the cold?"
Do you know anything about Thalgar?,True warriors fight for a purpose greater than themselves
"who is ysgramor, How does that work?","The first great Nord king, who led the Five Hundred Companions."
Explain.,It’s in the deep cave near the village. Beware of the creatures guarding it.
"The Winds of Change, Tell me more about this.",Accept the truth or drown in ignorance
Tell me.,It’s hidden in the library beneath the ancient castle. Look for the secret door.
"Tsun, What exactly does that mean?",Steel proves worth where words fail
"What should I do with the echo crystal, I want to understand better.",Place it in the fountain in the courtyard of lost voices
Could you explain You tryna start something?,You sure about that?
Details?,You sure you wanna do this?
"Yo, Tell me more about this.",Yo what
"Best place to steal, What exactly does that mean?",Where no one is watching
I'd like to learn about What you looking at?,"Not much, apparently"
I'd like to learn about The Greybeards?,"Listen, learn, and do not rush the voice"
"Lexicon, I’ve heard, but I want to know more.","Cube of memory, or voice of madness?"
"dirty, I’ve heard, but I want to know more.",The best way.
"The Ratway, Can you explain?","Path of thieves, or tunnel to survival?"
More info?,"Use antidotes to protect yourself, then strike when it’s distracted."
Roland,The path to victory is paved with persistence
Where can I find the hidden vault?,It’s behind the old church. The entrance is hidden beneath the floorboards.
Do you know anything about What is the Adamantine Tower??,"The Adamantine Tower, also called Direnni Tower, is the oldest structure in Tamriel, built by the Aedra."
"Galmar, I want to understand better.","Windhelm is north, follow the icy road through the tundra, and you’ll soon see the city emerge from the snow"
"Glacier, How does that work?","Frozen age, or silent giant?"
shame,"The chain around your heart, or key to becoming better?"
The Warp in the West,"Miracle of balance, or break in truth?"
What do I do after gathering all the relics?,Take them to the altar in the temple of the gods.
Clarify.,Could you survive the trials of psijic order?
I was wondering about How do I defeat the blood demon??,"Use holy water to weaken it, then strike when it’s exposed."
Clarify.,Hang it on the old tree in the graveyard to see the past
falkreath,Could you survive the trials of falkreath?
Tell me.,"Find them, craft them, or take them off someone who no longer needs them"
I'd like to learn about sigil stone?,Would you dare speak the name of sigil stone aloud?
"Move, I want to understand better.",You first
"Hermaeus Mora, Why is that important?","Keeper of secrets, or devourer of minds?"
I was wondering about stormcloak?,Stormcloak... it echoes through history.
Do you know anything about psijic order?,Could you survive the trials of psijic order?
"ever been with a woman, Tell me more about this.",Plenty. Some of them better than men.
Breton,"Magic-wielders, or traitors to their blood?"
Tell me.,"Some say the temple in Solitude, some say High Hrothgar."
I need to know about You useless?,"Yet here you are, asking me for help"
I need to know about Brynjolf?,"To find Windhelm, head north, through the frozen tundra, and you’ll see the city rise from the snow"
"who is mannimarco, Why is that important?","The King of Worms, master of necromancy."
Do you know anything about Lydia?,"Farkas may be rough around the edges, but his heart is pure. I’d trust him with my life."
I was wondering about elderscrolls?,Elderscrolls does not forgive trespassers.
Do you know anything about whats the best way to die?,with purpose
"Tell me why everything in Skyrim wants to kill me, Give me more details.","Because you’re the main character, and peaceful days don’t make for good stories"
"stormcloak, Tell me more about this.",Who writes the fate of stormcloak?
elderscrolls,Would you dare speak the name of elderscrolls aloud?
"Vampire Dust, I want to understand better.","Ash of temptation, or spark of power?"
"where is talos, How does that work?","Talos ascended to godhood, or so they say."
do you like the kagouti,Kagouti are aggressive and tough. They are best avoided.
"Adril Arano, Can you explain?",Speak to the Redoran Guard and maintain order
Could you explain Captain Veleth?,Secure the town and report any ash spawn sightings
azura,"Queen of twilight, or mother of fate?"
Explain.,The Thu’um is a gift from the dragons. It is both powerful and awe-inspiring.
Could you explain You still talking?,Somebody’s gotta entertain you
rimmen,How many lives has rimmen claimed in silence?
I need to know about Eldersblood Peak?,"Throat of storm, or breath of fate?"
I'd like to learn about soul cairn?,Soul Cairn does not forgive trespassers.
"Describe the Betrayed, Give me more details.","The Falmer—once proud Snow Elves, now twisted by centuries of darkness"
What is Oblivion?,"Oblivion is the realm of the Daedra, a plane of existence separate from Nirn, filled with countless strange and dangerous worlds."
Can you tell me about who can i marry?,"Many are willing, if you wear an Amulet of Mara."
Do you know anything about Sanguine?,"Lord of debauchery, or liberator of desire?"
"alduin, Tell me more about this.","Is alduin the end, or merely a beginning?"
"What do you do when you’re not working, Tell me more about this.",Mostly trying to avoid getting into trouble
skyrim,What did it cost to silence skyrim?
"why am i here, What exactly does that mean?",only you can answer that
Tell me.,"Be defensive, and wait for them to expose their weaknesses."
wisp mother,Wisp Mother... it echoes through history.
I was wondering about Mehrunes Dagon?,"Prince of destruction, or test of resolve?"
"deep, What exactly does that mean?",That’s the goal.
More info?,"Block, bash, and control the flow of the fight."
I need to know about Vilkas?,Earn your shield and the name Companion
The Battle of Sancre Tor,"Echo of victory, or sacrifice forgotten?"
"Sky Haven Temple, I want to understand better.","Blades' refuge, or vault of destiny?"
sithis,Would you dare speak the name of sithis aloud?
"is it over, What exactly does that mean?",Nothing ever truly ends.
"Erik, How does that work?","To reach Markarth, follow the river west, the stone city will soon appear in the cliffs"
"Parthuurnax, Why is that important?",Meditate upon the Word and learn its true meaning
"What you looking at, Can you explain?","Not much, apparently"
"What is the Greybeards’ purpose?, Give me more details.","The Greybeards are monks who devote themselves to the study of the Thu’um, only speaking when absolutely necessary."
I'd like to learn about eye of magnus?,Even the gods fear eye of magnus.
"Dragonborn, Tell me more about this.","Dovahkiin of prophecy, or pawn of gods?"
Details?,"The Orcish homeland, repeatedly destroyed and rebuilt over the centuries"
knock knock,Who goes there?
Pilgrim,"Seeker of truth, or wanderer in denial?"
Erik,"Fight with purpose, and the world will bow before you"
Details?,You need to find the three missing stones and place them on the altar.
Freya,"Do not fear defeat, for it is a lesson, not an end"
"twilight sepulcher, Why is that important?","Some worship twilight sepulcher, others curse its name."
Lydia,"Vilkas might not say much, but when he does, you listen. He’s been through a lot, and his wisdom speaks for itself."
"What you doing here, Why is that important?",None of your damn business
"soul cairn, How does that work?",Could you survive the trials of soul cairn?
Do you know anything about dark brotherhood?,Would you dare speak the name of dark brotherhood aloud?
"Sanguine, Can you explain?","God of revel, or curse of indulgence?"
where is everyone,gone or simply hidden
who is boethiah,Daedric Prince of deceit and assassination.
"Explain the origins of lycanthropy, Tell me more about this.","Said to be a gift or curse from Hircine, granted to those who embrace the hunt"
Details?,"Use spells to control the fight, but don’t overextend. Conserve your mana."
"return, I’ve heard, but I want to know more.","To what you left, or what you were?"
"Can I rob a store, I’ve heard, but I want to know more.",Only if you do not get caught.
I'd like to learn about Fjori?,"You must learn to fight for others, not just yourself"
"blackreach, Tell me more about this.",Could you survive the trials of blackreach?
Where is the nearest dungeon,"Look around, there is always one nearby."
Do you know anything about Mantella?,"Fake heart, or true spark?"
bosmer,Bosmer holds truths best left buried.
fuck me raw,"You really want trouble, huh?"
Do you know anything about valenwood?,"Some worship valenwood, others curse its name."
I'd like to learn about where do i start?,"That depends. Helgen, if you remember."
I need to know about Describe what smithing does?,It lets you craft and improve weapons and armor—because looking cool is important
Can you tell me about tiber septim?,Tiber Septim was written in fire and shadow.
"whats the best foreplay, How does that work?",the kind that leaves you begging
Could you explain Who even likes you?,More people than you’d think
Do you know anything about Where can I find the legendary staff??,It’s in the hidden chamber beneath the wizard’s tower. You’ll need a special key.
"What do you know about the Blades?, Tell me more about this.","They were once the Dragonborn’s sworn protectors, but the Thalmor hunted them down."
Clarify.,"Not yet, but keep talking"
Clarify.,"Jarl Maven, or the one before her."
I'd like to learn about How do I defeat the storm lord??,"Use wind magic to overpower him, then strike while his power is drained."
priest,"A servant of the gods, but which ones?"
Tell me.,Yet you're still talking to me
Tsun,"Guardian of Sovngarde, or test of worth?"
"spear, Can you explain?","A reach for power, or protection?"
"Rorikstead, What exactly does that mean?","Farm of peace, or secret of power?"
Can you tell me about falmer?,Even the gods fear falmer.
I'd like to learn about soul cairn?,Soul Cairn... it echoes through history.
"telvanni, I want to understand better.",Telvanni holds truths best left buried.
Tell me.,"Undead guardians, bound forever to protect the realm of lost souls."
Why does time move fast when I’m having fun,Because life is coded like a bad video game
"miraak, I’ve heard, but I want to know more.",Miraak... it echoes through history.
Valda,Patience will carry you farther than speed
How do I fight against archers?,"Close the distance, take cover, and don’t let them get an easy shot."
"whiterun, I’ve heard, but I want to know more.",How many lives has whiterun claimed in silence?
"The Daedra, Why is that important?","Princes of change, or gods of chaos?"
Could you explain thief?,"Some steal gold, others steal lives."
I was wondering about Riverwood?,"Small town, big secrets"
I'd like to learn about Why is everyone talking about Sovngarde?,Because it’s where the dead Nords go to party
"Shout, Tell me more about this.","Voice of gods, or scream of soul?"
"Arkay, I want to understand better.","Guardian of end, or gatekeeper of rebirth?"
Tiber Septim,"Uniter of men, or breaker of thrones?"
Dragon,"I am fire, voice, and sky made flesh"
Clarify.,"Heavy armor can be tough, but you can break through it with power attacks or magic that ignores armor. Focus on weakening their defenses first."
Saint,"Model of virtue, or tale of convenience?"
oblivion,Would you dare speak the name of oblivion aloud?
"I need a break, Can you explain?","Then take one, before life forces you to"
Clarify.,"Gods of chaos, or keepers of dark secrets?"
"why do people fight, What exactly does that mean?",for power for love for nothing at all
"do you like the wraiths, I’ve heard, but I want to know more.",Wraiths are powerful undead. Use fire or silver weapons to defeat them.
"Darkwater Crossing, Give me more details.","Rest for travelers, or home to bandits?"
"Sanctuary, Why is that important?","Home of killers, or temple of contracts?"
ever had sex on a bet,"Yep. Won the bet, lost my dignity."
Explain what happened to Winterhold,"Some say it was a natural disaster, others whisper of magical folly"
should i trust you,That’s up to you.
I was wondering about You ain't special?,Yet you're still talking to me
Explain.,The soul wanders the ruins of the old city. You’ll need to speak with the spirit to learn more.
Explain.,It’s hidden in the caves beneath the cliffs. Be prepared for the creatures guarding it.
"telvanni, What exactly does that mean?","Power through solitude, or arrogance with roots?"
"soul gem, Why is that important?",Soul Gem... it echoes through history.
"do you like the skeevers, Tell me more about this.",Skeevers are weak but can carry disease. They are best avoided.
who is watching us,"No one, I hope."
Tell me.,Because they burn cities to the ground.
rimmen,Rimmen does not forgive trespassers.
Explain.,Or what?
"boethiah, Give me more details.",Boethiah was written in fire and shadow.
"coldharbour, Give me more details.",What did it cost to silence coldharbour?
"Torka, Give me more details.","It’s not the size of your weapon, it’s the heart behind it"
"The Synod, Why is that important?","Seekers of power, or thieves of wonder?"
More info?,"Home of the lost, or cradle of vengeance?"
"Odahviing, Can you explain?",Summon me when the sky betrays you
