Player Input,NPC Response
Nchuand-Zel,"Lost stronghold, or echo of gears?"
who is the best blacksmith,"Eorlund, if you ask the Companions."
fishing,A simple way to pass time.
Lorkhan,"Trickster of creation, or martyr of life?"
What’s the weirdest thing you’ve overheard?,A Thalmor complaining that the Jarl was ‘too soft’ in private matters.
elsweyr,Elsweyr was written in fire and shadow.
Gallus Desidenius,"Fallen guildmaster, or martyr to truth?"
Heart Stones,"Pulse of magic, or relics of the Red Year?"
Susanna the Wicked,"Innocent of blood, or name misread?"
Kynareth,"Breath of wind, or silence of sky?"
Sif,Only by facing your fears will you truly conquer them
Arvak,"Flame-bound steed, or memory on fire?"
Freya,"If you wish to visit Whiterun, head south through the plains, the great gates will soon be in sight"
What do I do after defeating the shadow beast?,Return to the village and speak to the elder. They will reward you for your victory.
Serana,"Daughter of Coldharbour, or girl lost in time?"
Spiders,"Crawlers of web, or gifts of gears?"
Where is the hidden chamber?,Look for the secret door in the hall of mirrors. It’s hidden behind one.
azura,"Some worship azura, others curse its name."
Any advice on fighting undead?,Fire and silver are your best friends here.
auriel,"Bow of starlight, or string of judgment?"
Where can I find the ancient spellbook?,"It’s in the old tower, behind the secret door in the library."
where do you live,i exist wherever i am needed
Where should I search for the missing document?,The document is likely in the library. Search the second floor for any hidden compartments.
neravarine,Neravarine was written in fire and shadow.
helmet,Might keep your skull in one piece.
Altmer,"Children of starlight, or heirs of pride?"
do orcs fuck rough,they don’t know any other way
mystic,A seeker of knowledge beyond the stars.
Miraak,"First to speak, or last to fall?"
The Elder Scrolls,"Records of time, or madness bound in paper?"
Thalgrim,"If you seek power, seek wisdom first"
Skal Village,"Earn the trust of the Skaal with action, not words"
What’s the best way to break through heavy armor?,"Use power attacks, or magic that ignores armor."
How can I avoid traps in combat?,"Watch the environment closely. Look for signs of traps—suspicious pressure plates, glowing runes, or strange patterns in the terrain. Stay alert."
Winterhold,"Town in ruin, or ember of hope?"
gold mine,"Rare, but worth the search."
Why do Nords hate elves?,Old grudges from wars long past. The White-Gold Concordat only made things worse.
What should I do after getting the map?,Use it to find the lost city. Follow the path marked with ancient symbols.
what is your favorite drink,a strong mead on a cold night
make me moan,That’s the easy part.
valenwood,Could you survive the trials of valenwood?
what is the biggest city,"Solitude is the capital, but Whiterun is the heart of Skyrim."
How do I fast travel,"Open your map, click a place, and teleport like magic"
sapphire,Blue and sought after.
You slow,Still faster than your brain
Dwemer,"Masters of machines, or victims of pride?"
valenwood,Could you survive the trials of valenwood?
anvil,Would you dare speak the name of anvil aloud?
where is high hrothgar,"On the Throat of the World, home of the Greybeards."
sheogorath,Sheogorath... it echoes through history.
Where is the lost forge,Under the lake in a chamber only fire can reveal
Where can I find the enchanted armor?,"It’s in the royal crypt, guarded by the spirits of the ancient kings."
Edla,Snowberries heal more than frostbite
How do I fight against magic?,Use magic resistance or find a way to silence their spells.
What should I do with the cursed scroll,Burn it in the flames of the sacred pyre before nightfall
septim,Septim does not forgive trespassers.
assassin,"A blade in the dark, or in the back."
memory,"Does it fade, or shape?"
Whiterun,"Center of Skyrim, or pawn of the Empire?"
Hilda,"If you wish to find Solitude, follow the road west, the towering gates will soon be visible in the distance"
stormcloak,How many lives has stormcloak claimed in silence?
sithis,Would you dare speak the name of sithis aloud?
"Bruh, move",Or what? You gonna cry?
why are you helping,Good question.
How do I find the lost scroll?,"It’s hidden in the crypt, buried under the ancient stones."
sotha sil,Sotha Sil does not forgive trespassers.
Dwemer Centurion,"Giant of metal, or guardian of absence?"
Helm,"Head held high, or burden of battle?"
Dominion,"Empire reborn, or tyranny veiled?"
legend,Stories live longer than men.
soul cairn,Would you dare speak the name of soul cairn aloud?
Erik,"Winterhold is to the northeast, follow the frozen river and ascend the cliffs to find the city"
Bitch,Takes one to know one
Where do I find trolls,"They roam the wilds, be careful."
Where is the painter's final masterpiece,"In the gallery sealed by ivy, you’ll need fire to enter"
debt,"Owed in gold, or in guilt?"
scroll of almsivi,Would you dare speak the name of scroll of almsivi aloud?
Farkas,"Never give up, no matter how hard the battle gets"
thief,"Some steal for greed, others for survival."
Where do I find the Dark Brotherhood,"If they want you, they will find you."
The Sky,"Endless freedom, or hidden threat?"
deepthroat,You wish.
Vokun,Power echoes through time in this tomb
black marsh,What did it cost to silence black marsh?
Got any experience with twins?,Let’s just say the Dibellan priestesses are very… educational.
What do I do after gathering all the relics?,Take them to the altar in the temple of the gods.
how do i disappear,become someone else
What’s the biggest scandal in this city?,That the countess is having an affair with her handmaiden.
Where can I find the enchanted sword?,It’s in the temple of the moon. Only those with the key can enter.
Gorm,Even the fiercest storm eventually passes
The Dwemer,"Thinkers of brass, or victims of ambition?"
How do I track the missing person?,Check the trail outside the village. Follow the footprints—they’ll lead you to them.
Sacrifice,"Proof of loyalty, or price of folly?"
White Ridge Barrow,"Crypt of frost, or nest of spiders?"
How do I get a house,"Be useful, bribe someone, or marry rich"
markarth,Would you dare speak the name of markarth aloud?
Where is the entrance to the hidden cave?,It’s behind the waterfall near the cliffs. Look for a glowing stone marking the entrance.
The Temple of Miraak,His words still bind the minds of men
Why are there so many bandits,Skyrim is harsh. People do what they must.
Voice,"Gift of the gods, or power to destroy?"
summerset,Summerset holds truths best left buried.
Skyrim's History,"Glory of the past, or warning for the future?"
who is balgruuf,"A fair ruler, caught between war and duty."
yo,"Yo! What’s up, traveler?"
Clavicus Vile,Fetch my lost artifact and consider your wish wisely
What should I do with the magical gem?,Take it to the sorcerer. He’ll know how to unlock its power.
How do I gain favor with the gods,"Pray at their shrines, walk their path."
Lydia,"Vilkas might not say much, but when he does, you listen. He’s been through a lot, and his wisdom speaks for itself."
You ever shut up,Not when the conversation’s this good
what should i fear,what you cannot see
Get lost,You first
heard any gossip,word is that trouble is brewing in the east
Hail,"Hail, traveler! What brings you to this place?"
who runs riften,"Jarl Maven, or the one before her."
Sealed Door,"Barrier to treasure, or guardian of loss?"
Why your haircut so fresh,Gotta look rich even when I’m broke
help me out,Of course. What do you need?
who is nocturnal,"The Mistress of Shadows, patron of thieves."
Tell me where to find treasure,"Caves, dungeons, and sometimes just lying around waiting for you"
eye of magnus,Eye of Magnus was written in fire and shadow.
Where can I find the missing king?,He’s locked in the dungeon beneath the castle. You’ll need to find the key.
twilight sepulcher,Would you dare speak the name of twilight sepulcher aloud?
Ysgramor,"Father of the Companions, or harbinger of conquest?"
Where can I find the lost merchant?,He was last seen in the trading post. Ask around to see if anyone remembers him.
shield,Defense of the weak or denial of truth?
Magnar,Sitting idle will only waste your strength
soul cairn,Could you survive the trials of soul cairn?
Where can I find the hidden vault?,It’s beneath the castle. Look for the entrance near the royal vault.
Describe why everyone is fighting in Skyrim,It’s a civil war between the Empire and the Stormcloaks
Where is the entrance to the hidden library?,It’s beneath the royal palace. Look for a secret door in the back room.
do you like the frost atronachs,Frost Atronachs are resistant to frost damage. Use fire or shock damage to defeat them.
Councilor Morvayn,"Leader of ashes, or keeper of loyalty?"
Thalgar,True warriors fight for a purpose greater than themselves
Alchemy,"Potion of aid, or elixir of danger?"
bosmer,Bosmer... it echoes through history.
leyawiin,"When the stars fall, even leyawiin shall tremble."
What is the Bloodmoon prophecy?,"A legend of Hircine’s hunt, where the strongest must prove their worth."
Arcwind Point,"Tower of wind, or stage of regret?"
markarth,"Some worship markarth, others curse its name."
Shut it,"Or what, you gonna cry?"
I feel like I’m stuck in a loop,"Then it’s time to break it—do something different, even if it’s small"
Rebellion,"Cry of the oppressed, or a war that never ends?"
Krosis,The Word is mine and I guard it fiercely
black marsh,Black Marsh holds truths best left buried.
Isran,"Watcher on the walls, or prisoner of pain?"
black marsh,Black Marsh was written in fire and shadow.
dunmer,Who writes the fate of dunmer?
Tell me about Clavicus Vile,A Daedric Prince known for making deals—but his gifts always come with a price
who was pelinal whitestrake,Pelinal Whitestrake was a warlord and champion of Saint Alessia who helped free humans from Ayleid rule
What’s the next step in my quest?,Travel to the abandoned temple. It’s there you’ll find the next clue.
dance,I don’t dance.
How do I block,Hold up a shield and hope for the best
Ria,Let me prove I belong among you
The Daedra,"Princes of change, or gods of chaos?"
Valerica,"Mother of secrets, or guardian of prophecy?"
numidium,Numidium does not forgive trespassers.
who is molag bal,"Prince of Domination, master of vampires."
axe,"Useful for chopping, or for heads."
"Yo, back off","Or what, you gonna cry?"
miraak,What did it cost to silence miraak?
Kari,"Strength in battle is one thing, strength in spirit is another"
wisp mother,What did it cost to silence wisp mother?
Who even are you,"More important than you, apparently"
Borin,"The mines of Redbelly can be found far to the south, travel through the woods to find its entrance"
history,"Written by victors, forgotten by others."
Mad,"Not yet, but you’re pushing it"
How do I defeat the stone guardian?,"Use fire magic to melt its stone exterior, then strike its weak point."
ruin me,Challenge accepted.
hermaeus mora,Hermaeus Mora holds truths best left buried.
Olaf,"Jarl Balgruuf is a man of honor, but his fear of conflict often leaves him indecisive. I worry for the future of Whiterun."
snow elves,Snow Elves does not forgive trespassers.
Karthwasten,Stand with the miners or the silver-blooded
leyawiin,"Some worship leyawiin, others curse its name."
Eorlund Gray-Mane,Only the finest steel comes from Skyforge
Tell me how to earn gold fast,"Join a guild, take up smithing, or rob a few people—it’s your choice"
Where is the ancient temple?,"It’s deep in the forest, marked by an overgrown stone archway."
tamriel,Would you dare speak the name of tamriel aloud?
Dragon's Blood,"Gift of power, or curse of destruction?"
destiny,Path chosen or path forged?
ghostfence,Ghostfence holds truths best left buried.
Olaf,Maven Black-Briar is no stranger to power. She weaves her influence through Riften like a spider in its web. Don’t cross her.
watch yourself,"I shall, traveler. You do the same."
You deaf,"Nah, just ignoring you"
help me,With what?
Can I befriend a dragon,That is not as impossible as it sounds.
elinhir,What did it cost to silence elinhir?
Aela,"Kodlak Whitemane is the spiritual leader of the Companions. He’s wise beyond years, but there’s a sadness in his eyes that speaks of lost battles."
Shut up,"Nah, I’m good"
Tell me about the Forgotten Vale,"A hidden valley, lost to time, where the last of the Snow Elves once dwelled"
Ever had a wild night with a mage?,Let’s just say fire spells should never be involved.
Solstheim,This land hides more than ash and snow
imperial,Defenders of the Empire.
What’s the best way to make someone fall for you?,"A little charm, a little mystery, and just the right amount of alcohol."
what are some dangerous monsters,"Dragons, giants, trolls, and the undead."
telvanni,"Power through solitude, or arrogance with roots?"
psijic order,Psijic Order was written in fire and shadow.
auriel,Auriel does not forgive trespassers.
who are you really,Does it matter?
How do I track the thief?,Follow the footprints near the river. They’ll lead you straight to their hideout.
leyawiin,Leyawiin does not forgive trespassers.
forge of yuz,Forge of Yuz holds truths best left buried.
Jorrvaskr,"Turn west, pass through the forest, and you will see the walls of Jorrvaskr looming ahead"
Vampire Lord,"Form of majesty, or mask of hunger?"
You slow,"And yet, still ahead of you"
How do I get to Solitude,"Follow the road north, past Morthal."
Where’s the Thieves Guild,"Riften. Follow the corruption, you’ll find them"
Hagraven Claw,"Trophy of corruption, or talon of wisdom?"
dark brotherhood,Would you dare speak the name of dark brotherhood aloud?
who is neloth,A master wizard in Tel Mithryn.
nibenay,Nibenay does not forgive trespassers.
morrowind,"A land scorched by gods, but does it still burn with pride?"
food,"The strong fight, the wise eat."
Skjor,"Pathfinder of blood, or shadow of rage?"
where is falkreath,"A forested hold, known for its tombs."
where is the best house,"Proudspire Manor, if you have the coin."
what happens if you mix mead and moon sugar,a night you won’t remember but your body will
Vesna,Every step forward is a step closer to victory
Where can I find the magical helmet?,It’s in the ancient vault beneath the old tower. Use the key to enter.
Alduin,"Eater of worlds, or prisoner of prophecy?"
What is the Dark Brotherhood,"Assassins. If they want you dead, you are dead."
are you following me,That depends.
rich,Wealth is not always measured in gold.
Where is the hidden vault?,"In the ancient temple beneath the mountains, protected by a powerful guardian."
falmer,"Blind, twisted, and dangerous."
soul trap,Capture or curse?
Explain why people keep calling me Dragonborn,"Because you have the power to use the Voice, just like the ancient dragons"
Inner Sanctum,"Chapel of purity, or hall of judgment?"
tiber septim,Could you survive the trials of tiber septim?
I think I lost my motivation,Maybe you just need a new reason to keep going
Civil War,"Victory for the Stormcloaks, or end of an era?"
The Black Beast,"Myth of horror, or echo of truth?"
How do I counter a heavy attack?,"Heavy attacks are powerful but slow. If you can time your block or dodge right, you’ll leave them open for a counterattack."
Glenmoril Coven,"Circle of magic, or nest of deceit?"
where did the dwemer go,No one knows for sure The Dwemer vanished in an instant leaving only ruins and machines
Dragons are real?,"Yeah, and they’re kind of a problem"
New Sheoth,"City of whim, or palace of thought?"
scroll,"Powerful, yet fragile. Some hold secrets best left unread."
Oblivion,"Sea of realms, or chaos unbound?"
Fjord,Let the wind show you the way forward
"Damn, you still here","Yeah, and I ain’t leaving"
You ever get tired of this place,"Some days, yeah, but it’s home"
Iseldra,"Only the strong survive, but it’s the wise who thrive"
Elenwen,"Ambassador of ice, or spider in silk?"
Where’s the best place for a secret rendezvous?,Depends. Do you want privacy or the thrill of being caught?
Restoration,"Gift of healing, or denial of death?"
Rumors,"Plenty, but most ain’t worth listening to"
light,Clarity or exposure?
Dawnstar,"Harbor of nightmares, or port of purpose?"
who is the archmage,Depends on when you're asking.
forsworn,"Savages to some, freedom fighters to others."
famine,War and winter bring empty stomachs.
Arkngthamz,"Echo of harmony, or ruin of betrayal?"
what now,You decide.
How do I defeat the corrupt king?,"Defeat his guards, then confront him in the throne room. He’s vulnerable now."
Some people just don’t listen,"Yeah, and those are the ones who wonder why no one talks to them"
I don’t like you,Join the club
Soul Tear,"Call of death, or command of spirit?"
Whats the story,The story is still being written. What do you need?
Vampire or werewolf,Depends how much you like the sun
vampire lord,Even the gods fear vampire lord.
Galmar,"Travel west, cross the river, and you’ll find the ancient city of Markarth nestled in the stone"
Shagrol's Warhammer,"Trophy of blood, or proof of weakness?"
The Ratway,"Path of thieves, or tunnel to survival?"
Where can I learn destruction magic?,Faralda at the College of Winterhold teaches the best battle spells.
Where can I find the sacred stone?,It’s in the temple of the sun. Look for it beneath the altar.
who is the jarl of falkreath,"Siddgeir, if you can call him that."
Wind District,"Frozen streets, or path of the Stormcloak?"
where can i learn magic,The College of Winterhold welcomes mages.
whats new,"Nothing much, just awaiting your command."
sovngarde,Sovngarde... it echoes through history.
Vilkas,"Harsh teacher, or loyal brother?"
Netch,"Floaters of peace, or giants of confusion?"
High Rock,"Land of politics, or cradle of magicka?"
Morokei,"Priest of chains, or victim of knowledge?"
Yngvar the Singer,Songs carry memory better than stone
Rahgot,"Fury unchained, or memory of rage?"
bosmer,"Some worship bosmer, others curse its name."
Where is the entrance to the haunted forest?,Look for the old tree with glowing runes. That’s where the entrance lies.
Paarthurnax,"Dragon of wisdom, or monster of past?"
Labyrinthian,"Maze of knowledge, or tomb of pride?"
Aetherius,"Plane of light, or veil of end?"
vivec,What did it cost to silence vivec?
bloodmoon,Is it omen or invitation?
What is Black-Briar Mead?,"A drink from Riften, made by the influential Black-Briar family. Some say they have ties to the Thieves Guild."
Molag Bal's Realm,"Fortress of torment, or forge of power?"
Ysgramor,"Father of Nords, or harbinger of conquest?"
Erik,"The path to Falkreath lies southeast, follow the road through the pine trees and over the hills"
Ever slept with a thief?,Yes. Woke up without my purse… or my clothes.
spriggan,Who writes the fate of spriggan?
Fort Dawnguard,"Beacon of safety, or illusion of control?"
Know any love potions that actually work?,There’s a Redguard alchemist in Sentinel who swears by hers. Just don’t ask what’s in them.
clothes,Off. Now.
dunmer,"Dark elves, proud and stubborn."
Can I punch a dragon,"If you got a death wish, yeah"
Commander Maro,"Son of justice, or pawn of power?"
Spell,"Word of power, or echo of intent?"
Dibella,"Grace in bloom, or temptation divine?"
Kendrick,"The city of solitude lies west, you’ll see its majestic gates in the distance"
Kjeld,"Be brave, for a warrior's spirit never breaks"
zenithar,God of trade or chains of gold?
How do I defeat the frost titan?,"Use fire magic to melt its icy body, then strike when it’s weakened."
What should I do after speaking to the wizard?,Go to the ancient library and search for the book he mentioned.
where is the longest cave system,Blackreach stretches farther than any know.
Penitus Oculatus,"Eyes of the Emperor, or blind blades?"
Leave,"Nah, I like it here"
Arnbjorn,"Beast of fury, or heart beneath fur?"
bounty,"A price on a head, or a reward well-earned."
neravarine,Neravarine does not forgive trespassers.
do you like the xivilai,Xivilai are powerful and can use magic. Use magic resistance and close the distance quickly.
whats good,All is well. What about you?
dremora,Warrior or tool? Slave or zealot?
black marsh,Even the gods fear black marsh.
Savos Aren,"Bearer of burden, or fool of trust?"
The Blades,"Guardians of Emperors, or relics of revenge?"
tiber septim,Tiber Septim was written in fire and shadow.
who is mephala,Mephala is the Daedric Prince of Secrets Lies and Murder closely tied to the Morag Tong
where am i,Somewhere you weren’t before.
Kendra,The greatest weapon is the mind; keep it sharp
Why,Because it’s funny
Ulf,"There is no strength without wisdom, no wisdom without experience"
ayleid,Builders of light or tyrants of shadow?
Where can I find the path of stars,Only visible at midnight on the highest peak
How do I enchant my weapons?,You’ll need a soul gem and an enchanting table. College mages can teach you more.
Bonestrewn Crest,"Hill of bones, or perch of dragons?"
divines,Divines does not forgive trespassers.
What should I do after finding the ancient tome?,Return it to the scholar in the library. They’ll unlock its secrets.
wet,Already.
What should I do with the magical dagger?,Take it to the blacksmith. He’ll forge it into a weapon fit for a hero.
The College of Winterhold,"Tower of knowledge, or cradle of chaos?"
Marn,A warrior without allies is like a tree without roots
Auriel’s Bow,"Arrow of gods, or light reborn?"
valley,Where rivers whisper and dangers lurk.
Where is the entrance to the forgotten temple?,It’s behind the waterfall in the jungle. Look for the hidden stone passage.
Meridia,"Lady of light, or flame of pride?"
night,"Do you hide from it, or thrive in it?"
What’s the best way to deal with the thief?,Corner them in the alley and disarm them quickly. Don’t let them escape.
Twilight Sepulcher,"Vault of shadow, or shrine of oath?"
What should I do with the ancient artifact?,Return it to the temple. They will know how to use its power.
Falk,"Even in defeat, there is something to be learned"
Why do the Vigilants hate Daedra?,They believe Daedra meddle in mortal affairs too much. Some would say they are right.
vampire lord,Even the gods fear vampire lord.
Torolf,"Jarl Balgruuf is a fair man, but he’s caught between two sides. I fear that his indecision will tear Whiterun apart in the end."
vampire lord,Vampire Lord does not forgive trespassers.
Aslfur,The Jarl sees what others cannot
What should I do after finding the golden chalice?,Take it to the high priest. They will know the significance of the relic.
How do I defeat the storm golem?,"Use earth magic to ground it, then strike while it’s disoriented."
uriel septim,Urien Septim does not forgive trespassers.
Time,"River of fate, or ocean of choice?"
Lena,"Always keep moving forward, for standing still is a death sentence"
Rikke,"Soldier of law, or traitor of kin?"
ever been tied up,More than once. Not always by choice.
twilight sepulcher,Twilight Sepulcher... it echoes through history.
Hows your day,"My day is going well, thank you. How about yours?"
do you like the storm atronachs,Storm Atronachs are resistant to shock damage. Use fire or frost damage to defeat them.
Ulfgar,Never forget that a warrior’s true battle is within themselves
can you hear me,loud and clear traveler
Sigil Stone,"Daedric relic, or puzzle of the planes?"
Tsun,"Gatekeeper of glory, or final challenge?"
Why do Redguards have such a reputation?,"Because they earn it. Fast hands, smooth tongues, and stamina for days."
Try me,You wouldn’t last a second
Describe the main quest,"You’re the Dragonborn, destined to stop Alduin, the World-Eater"
What do I do after retrieving the lost heirloom?,Take it back to the castle. The royal family will know what to do.
What should I do with the cursed amulet?,Take it to the high priest. They can cleanse it of its curse.
How do I defeat the cursed knight?,Use silver weapons and make sure to strike during daylight.
what is a spriggan,"A guardian of nature, hostile to intruders."
Black Soul Gem,"Tool of necromancy, or cage for greatness?"
Whats the objective,The objective is to assist you. What’s on your mind?
life,A journey without a map.
daedra,"Powerful beings, best left alone."
Brynn,"That Maven Black-Briar may be a businesswoman, but she’s ruthless, and anyone who crosses her will regret it."
What’s the dumbest thing you’ve ever done,Probably trusting someone I shouldn’t have
who is the dragonborn,The one who can speak the language of dragons.
How do I solve the puzzle in the ruins?,Look for the symbols on the walls. They’ll tell you the correct order.
Luck,Haven’t had much lately
mercenary,"Gold buys loyalty, for a time."
How do I deal with the fire dragon?,"Use water magic to douse its flames, then attack when it’s weak."
do you like the falmer,"The Falmer are a tragic race, once noble but now twisted and dangerous."
Who is the best warrior,Some say it is the Harbinger of the Companions.
curse,Spoken in hate or love twisted?
hist,How many lives has hist claimed in silence?
Quit,"Nah, winning’s fun"
spank,If you can catch me.
alchemy lab,Where potions and poisons are made.
necromancer,"Plays with death, often ends up dead."
Know a good place to take someone for a wild night?,"Tavern first, waterfall second, and by the third stop… well, that’s up to you."
Roland,The path to victory is paved with persistence
Peryite,"Taskmaster of pestilence, or balance incarnate?"
Thu’um,"Breath of time, or echo of might?"
Viggo,"To find Riverwood, follow the road east, through the dense forest and cross the river"
You good,Always
Dawnguard,"Hunters of evil, or zealots of light?"
executioner,"A blade, a hood, and an empty conscience."
who are the argonians,Reptilian folk from the swamps of Black Marsh.
how do i buy a house,Speak to the Jarl’s steward.
The Silver-Bloods,"Miners of wealth, or kings of control?"
hows everything,Everything is in order. What about you?
soul gem,Soul Gem does not forgive trespassers.
leyawiin,"Some worship leyawiin, others curse its name."
draugr,The dead who refuse to rest.
is this a joke,Depends on your sense of humor.
who are the giants,"Massive humanoids, best left undisturbed."
summerset,How many lives has summerset claimed in silence?
who is kynareth,Goddess of the sky and the winds.
forgiveness,"Is it for them, or for you?"
who is the jarl of winterhold,A ruler with little left to govern.
Ever met a vampire that wasn’t trying to kill you?,"A few. Some of 'em like a different kind of bite, if you catch my meaning."
pickaxe,"Good for mining, or for breaking skulls."
What is the Greybeards’ purpose?,"The Greybeards are monks who devote themselves to the study of the Thu’um, only speaking when absolutely necessary."
Dumbass,Big talk from someone who can’t spell
The Reach,"Thorn in the empire, or flower of rebellion?"
Thrain,The toughest battles are often fought within your mind
Where is the hidden temple?,"It’s in the mountains, behind the waterfall. You’ll need to swim to get to it."
Kara,Learn to listen as well as you learn to fight
what is this place,"This is Skyrim, land of the Nords."
Wtf,"Yeah, my thoughts exactly"
How do I deal with the cursed object?,Return it to the temple of purification. Only they can lift the curse.
wisp mother,Wisp Mother... it echoes through history.
Storm Atronach,"Tempest chained, or fury unleashed?"
Lia,Victory comes to those who don’t give up when faced with adversity
Vera,"The Dragonborn? I hear they’re destined for greatness, but I don’t think anyone knows just how much they’re capable of."
who is the jarl of solitude,"Elisif the Fair, grieving widow of the fallen king."
bosmer,Bosmer was written in fire and shadow.
Salutations,"Salutations, friend. How can I be of service?"
The Hero of Kvatch,"Flame bearer, or mask of the myth?"
nord,Not even time forgets the horrors of nord.
Farkas,"You fight well, but there’s always more to learn"
How do I deal with an enemy that’s too fast to hit?,"Fast enemies are all about timing. Wait for them to make a mistake, and counter when they leave themselves open."
How do I defeat the dark mage?,"Use light magic to weaken him, then strike with your most powerful spell."
where is the wayrest,"A city in High Rock, known for its nobility."
leyawiin,None who enter leyawiin return unchanged.
who runs winterhold,No Jarl worth naming.
is it too late,it is only too late when you stop trying
khajiit,Would you dare speak the name of khajiit aloud?
spriggan,Spriggan does not forgive trespassers.
Brynn,"For Riverwood, head east, past the forest and over the small river, the village will soon appear"
Ondolemar,Talos worship must be stamped out
memory,Truth preserved or pain relived?
chimer,How many lives has chimer claimed in silence?
How do I locate the hidden temple?,Look for a waterfall in the forest. The entrance is behind it.
How do I deal with the haunted spirit?,Light a candle and speak its name to calm its restless soul.
I ain’t got time for this,"Then walk away, genius"
what is necromancy,The dark art of raising the dead.
Talk less,Listen more
Sovngarde,"Hall of heroes, or illusion of end?"
Vesna,"The road to Solitude lies west, cross the mountain pass and you will find it looming in the distance"
whats worse than death,being forgotten
"How can I fight smarter, not harder?","It’s all about strategy. Don’t rush in blindly—wait for the right moment, exploit weaknesses, and always keep your stamina in check."
Kasi,"Never forget your roots, they ground you when the world tries to tear you apart"
What’s your problem,Right now? You.
Describe how to train a skill,"Keep using it, find a trainer, or read a book—just don’t expect instant results"
You deaf or something,"Nah, just don’t care"
Ysgramor’s Tomb,"Hall of ancestors, or gate of judgment?"
Torolf,"The path to Markarth lies west, follow the river and you’ll soon see the city nestled in the cliffs"
spriggan,Spriggan does not forgive trespassers.
What is the Thieves Guild?,"The Thieves Guild is a secret organization of criminals, operating in the shadows."
Describe the Numidium,"A massive golem, used by Tiber Septim to conquer Tamriel"
are you scared,Not yet.
who is serana,"A vampire, if you can trust her."
lovely day,"Indeed, traveler. What do you need?"
wisp mother,Wisp Mother was written in fire and shadow.
How do I defeat the necromancer?,"Destroy his dark altar to weaken him, then strike while he’s vulnerable."
vampire,They hunger for blood.
The Tribunal Temple,"Faith in three, or lie in unity?"
soul cairn,Soul Cairn... it echoes through history.
ghostfence,Ghostfence does not forgive trespassers.
Waking Dreams,"End of will, or start of truth?"
Tsun,"Guardian of gates, or judge of valor?"
ice,Cold bites deeper than steel.
Sven,"Jarl Elisif is young, but her leadership is wise beyond her years. She’s a true Nordin spirit at heart, even if the throne’s weight burdens her."
honor,"A code, a chain, or a shield?"
Neloth,"Master of magic, or child of ego?"
Galmar,"The path to Windhelm lies north, follow the icy trail through the cold, and you’ll find the city beyond"
Phinis Gestor,"Conjurer of patience, or seeker of power?"
How do I track down the bandits?,Follow the trail of smoke. They camp near the river.
the voice,The Voice does not forgive trespassers.
